date,Steps,is_holiday,day_of_week,is_weekend,month,day_in_month
2018-11-23,7274,False,4,False,11,23
2018-11-24,1548,False,5,True,11,24
2018-11-25,245,False,6,True,11,25
2018-11-26,4519,False,0,False,11,26
2018-11-27,2612,False,1,False,11,27
2018-11-28,470,False,2,False,11,28
2018-11-29,2534,False,3,False,11,29
2018-11-30,2060,False,4,False,11,30
2018-12-01,1463,False,5,True,12,1
2018-12-02,122,False,6,True,12,2
2018-12-03,3501,False,0,False,12,3
2018-12-04,717,False,1,False,12,4
2018-12-05,5171,False,2,False,12,5
2018-12-06,2155,False,3,False,12,6
2018-12-07,2952,False,4,False,12,7
2018-12-08,2183,False,5,True,12,8
2018-12-09,1453,False,6,True,12,9
2018-12-10,159,False,0,False,12,10
2018-12-11,59,False,1,False,12,11
2018-12-12,3377,False,2,False,12,12
2018-12-13,66,False,3,False,12,13
2018-12-14,3109,False,4,False,12,14
2018-12-15,5920,False,5,True,12,15
2018-12-16,1807,False,6,True,12,16
2018-12-17,1010,False,0,False,12,17
2018-12-18,64,False,1,False,12,18
2018-12-19,937,False,2,False,12,19
2018-12-20,6873,False,3,False,12,20
2018-12-21,2566,False,4,False,12,21
2018-12-22,1271,False,5,True,12,22
2018-12-23,1703,False,6,True,12,23
2018-12-24,1858,False,0,False,12,24
2018-12-25,468,True,1,False,12,25
2018-12-26,3935,True,2,False,12,26
2018-12-27,1051,False,3,False,12,27
2018-12-28,1637,False,4,False,12,28
2018-12-29,9610,False,5,True,12,29
2018-12-30,3446,False,6,True,12,30
2018-12-31,1720,False,0,False,12,31
2019-01-01,287,True,1,False,1,1
2019-01-02,2732,False,2,False,1,2
2019-01-03,630,False,3,False,1,3
2019-01-04,5990,False,4,False,1,4
2019-01-05,5058,False,5,True,1,5
2019-01-06,1134,True,6,True,1,6
2019-01-07,746,False,0,False,1,7
2019-01-08,1448,False,1,False,1,8
2019-01-09,915,False,2,False,1,9
2019-01-10,615,False,3,False,1,10
2019-01-11,1738,False,4,False,1,11
