date,Steps,is_holiday,day_of_week,is_weekend,month,day_in_month
2019-12-14,257,False,5,True,12,14
2019-12-15,3480,False,6,True,12,15
2019-12-16,2384,False,0,False,12,16
2019-12-17,1563,False,1,False,12,17
2019-12-18,1480,False,2,False,12,18
2019-12-19,3818,False,3,False,12,19
2019-12-20,3308,False,4,False,12,20
2019-12-21,5481,False,5,True,12,21
2019-12-22,1273,False,6,True,12,22
2019-12-23,9327,False,0,False,12,23
2019-12-24,14265,False,1,False,12,24
2019-12-25,1751,True,2,False,12,25
2019-12-26,5262,True,3,False,12,26
2019-12-27,6993,False,4,False,12,27
2019-12-28,4018,False,5,True,12,28
2019-12-29,6335,False,6,True,12,29
2019-12-30,3525,False,0,False,12,30
2019-12-31,7193,False,1,False,12,31
2020-01-01,9115,True,2,False,1,1
2020-01-02,8364,False,3,False,1,2
2020-01-03,9359,False,4,False,1,3
2020-01-04,8367,False,5,True,1,4
2020-01-05,4255,False,6,True,1,5
2020-01-06,3746,True,0,False,1,6
2020-01-07,5751,False,1,False,1,7
2020-01-08,6011,False,2,False,1,8
2020-01-09,5335,False,3,False,1,9
2020-01-10,3762,False,4,False,1,10
2020-01-11,4138,False,5,True,1,11
2020-01-12,4425,False,6,True,1,12
2020-01-13,6125,False,0,False,1,13
2020-01-14,4667,False,1,False,1,14
2020-01-15,3519,False,2,False,1,15
2020-01-16,6756,False,3,False,1,16
2020-01-17,6928,False,4,False,1,17
2020-01-18,2052,False,5,True,1,18
2020-01-19,3626,False,6,True,1,19
2020-01-20,2570,False,0,False,1,20
2020-01-21,6982,False,1,False,1,21
2020-01-22,2542,False,2,False,1,22
2020-01-23,5534,False,3,False,1,23
2020-01-24,2123,False,4,False,1,24
2020-01-25,8251,False,5,True,1,25
2020-01-26,2929,False,6,True,1,26
2020-01-27,2013,False,0,False,1,27
2020-01-28,3421,False,1,False,1,28
2020-01-29,4865,False,2,False,1,29
2020-01-30,11189,False,3,False,1,30
2020-01-31,4375,False,4,False,1,31
2020-02-01,4003,False,5,True,2,1
2020-02-02,8199,False,6,True,2,2
2020-02-03,6758,False,0,False,2,3
2020-02-04,7424,False,1,False,2,4
2020-02-05,6897,False,2,False,2,5
2020-02-06,2424,False,3,False,2,6
2020-02-07,9292,False,4,False,2,7
2020-02-08,6176,False,5,True,2,8
2020-02-09,2820,False,6,True,2,9
2020-02-10,5993,False,0,False,2,10
2020-02-11,12103,False,1,False,2,11
2020-02-12,6949,False,2,False,2,12
2020-02-13,8201,False,3,False,2,13
2020-02-14,10589,False,4,False,2,14
2020-02-15,6773,False,5,True,2,15
2020-02-16,4475,False,6,True,2,16
2020-02-17,9942,False,0,False,2,17
2020-02-18,4836,False,1,False,2,18
2020-02-19,9118,False,2,False,2,19
2020-02-20,5048,False,3,False,2,20
2020-02-21,5680,False,4,False,2,21
2020-02-22,5037,False,5,True,2,22
2020-02-23,4839,False,6,True,2,23
2020-02-24,8004,False,0,False,2,24
2020-02-25,5729,False,1,False,2,25
2020-02-26,6099,False,2,False,2,26
2020-02-27,6882,False,3,False,2,27
2020-02-28,6437,False,4,False,2,28
2020-02-29,3952,False,5,True,2,29
2020-03-01,4135,False,6,True,3,1
2020-03-02,8185,True,0,False,3,2
2020-03-03,9228,False,1,False,3,3
2020-03-04,3553,False,2,False,3,4
2020-03-05,2859,False,3,False,3,5
2020-03-06,7871,False,4,False,3,6
2020-03-07,3781,False,5,True,3,7
2020-03-08,2996,False,6,True,3,8
2020-03-09,6264,False,0,False,3,9
2020-03-10,4458,False,1,False,3,10
2020-03-11,9062,False,2,False,3,11
2020-03-12,9811,False,3,False,3,12
2020-03-13,2922,False,4,False,3,13
2020-03-14,8953,False,5,True,3,14
2020-03-15,3014,False,6,True,3,15
2020-03-16,4305,False,0,False,3,16
2020-03-17,4556,False,1,False,3,17
2020-03-18,4878,False,2,False,3,18
2020-03-19,5323,False,3,False,3,19
2020-03-20,3411,False,4,False,3,20
2020-03-21,5340,False,5,True,3,21
2020-03-22,5009,False,6,True,3,22
2020-03-23,5820,False,0,False,3,23
2020-03-24,3629,False,1,False,3,24
2020-03-25,3126,True,2,False,3,25
2020-03-26,2720,False,3,False,3,26
2020-03-27,6189,False,4,False,3,27
2020-03-28,4461,False,5,True,3,28
2020-03-29,2382,False,6,True,3,29
2020-03-30,5948,False,0,False,3,30
2020-03-31,3791,False,1,False,3,31
2020-04-01,2616,False,2,False,4,1
2020-04-02,4956,False,3,False,4,2
2020-04-03,3783,False,4,False,4,3
2020-04-04,2178,False,5,True,4,4
2020-04-05,3848,False,6,True,4,5
2020-04-06,4801,False,0,False,4,6
2020-04-07,5796,False,1,False,4,7
2020-04-08,9671,False,2,False,4,8
2020-04-09,7997,False,3,False,4,9
2020-04-10,1489,False,4,False,4,10
2020-04-11,4478,False,5,True,4,11
2020-04-12,1664,False,6,True,4,12
2020-04-13,1614,False,0,False,4,13
2020-04-14,2748,False,1,False,4,14
2020-04-15,8947,False,2,False,4,15
2020-04-16,4942,False,3,False,4,16
2020-04-17,7817,False,4,False,4,17
2020-04-18,7360,False,5,True,4,18
2020-04-19,14273,False,6,True,4,19
2020-04-20,12114,True,0,False,4,20
2020-04-21,10988,False,1,False,4,21
2020-04-22,10394,False,2,False,4,22
2020-04-23,11181,False,3,False,4,23
2020-04-24,7022,False,4,False,4,24
2020-04-25,12857,False,5,True,4,25
2020-04-26,7399,False,6,True,4,26
2020-04-27,14117,False,0,False,4,27
