date,Steps,is_holiday,day_of_week,is_weekend,month,day_in_month
2019-12-30,1204,False,0,False,12,30
2019-12-31,4913,False,1,False,12,31
2020-01-01,2947,True,2,False,1,1
2020-01-02,1564,False,3,False,1,2
2020-01-03,4705,False,4,False,1,3
2020-01-04,6688,False,5,True,1,4
2020-01-05,6769,False,6,True,1,5
2020-01-06,5401,True,0,False,1,6
2020-01-07,3929,False,1,False,1,7
2020-01-08,6880,False,2,False,1,8
2020-01-09,6062,False,3,False,1,9
2020-01-10,12608,False,4,False,1,10
2020-01-11,7693,False,5,True,1,11
2020-01-12,3319,False,6,True,1,12
2020-01-13,17492,False,0,False,1,13
2020-01-14,16288,False,1,False,1,14
2020-01-15,18332,False,2,False,1,15
2020-01-16,13313,False,3,False,1,16
2020-01-17,18574,False,4,False,1,17
2020-01-18,12506,False,5,True,1,18
2020-01-19,2957,False,6,True,1,19
2020-01-20,18593,False,0,False,1,20
2020-01-21,25504,False,1,False,1,21
2020-01-22,8287,False,2,False,1,22
2020-01-23,14637,False,3,False,1,23
2020-01-24,22881,False,4,False,1,24
2020-01-25,7302,False,5,True,1,25
2020-01-26,16268,False,6,True,1,26
2020-01-27,6342,False,0,False,1,27
2020-01-28,19752,False,1,False,1,28
2020-01-29,10508,False,2,False,1,29
2020-01-30,8699,False,3,False,1,30
2020-01-31,16002,False,4,False,1,31
2020-02-01,12402,False,5,True,2,1
2020-02-02,3395,False,6,True,2,2
2020-02-03,21659,False,0,False,2,3
2020-02-04,26662,False,1,False,2,4
2020-02-05,6720,False,2,False,2,5
2020-02-06,13985,False,3,False,2,6
2020-02-07,18769,False,4,False,2,7
2020-02-08,13976,False,5,True,2,8
2020-02-09,3152,False,6,True,2,9
2020-02-10,10659,False,0,False,2,10
2020-02-11,14097,False,1,False,2,11
2020-02-12,13567,False,2,False,2,12
2020-02-13,16373,False,3,False,2,13
2020-02-14,15888,False,4,False,2,14
2020-02-15,10544,False,5,True,2,15
2020-02-16,4916,False,6,True,2,16
2020-02-17,12640,False,0,False,2,17
2020-02-18,23878,False,1,False,2,18
2020-02-19,10398,False,2,False,2,19
2020-02-20,18080,False,3,False,2,20
2020-02-21,12729,False,4,False,2,21
2020-02-22,9492,False,5,True,2,22
2020-02-23,3984,False,6,True,2,23
2020-02-24,21384,False,0,False,2,24
2020-02-25,5134,False,1,False,2,25
2020-02-26,9227,False,2,False,2,26
2020-02-27,11345,False,3,False,2,27
2020-02-28,9765,False,4,False,2,28
2020-02-29,9600,False,5,True,2,29
2020-03-01,12193,False,6,True,3,1
2020-03-02,9084,True,0,False,3,2
2020-03-03,9767,False,1,False,3,3
2020-03-04,3291,False,2,False,3,4
2020-03-05,14451,False,3,False,3,5
2020-03-06,12976,False,4,False,3,6
2020-03-07,8257,False,5,True,3,7
2020-03-08,4489,False,6,True,3,8
2020-03-09,7399,False,0,False,3,9
2020-03-10,8975,False,1,False,3,10
2020-03-11,10028,False,2,False,3,11
2020-03-12,20314,False,3,False,3,12
2020-03-13,6666,False,4,False,3,13
2020-03-14,2981,False,5,True,3,14
2020-03-15,2530,False,6,True,3,15
2020-03-16,6091,False,0,False,3,16
2020-03-17,12140,False,1,False,3,17
2020-03-18,6426,False,2,False,3,18
2020-03-19,21323,False,3,False,3,19
2020-03-20,6534,False,4,False,3,20
2020-03-21,7170,False,5,True,3,21
2020-03-22,3993,False,6,True,3,22
2020-03-23,5294,False,0,False,3,23
2020-03-24,8033,False,1,False,3,24
2020-03-25,6848,True,2,False,3,25
2020-03-26,7757,False,3,False,3,26
2020-03-27,6279,False,4,False,3,27
2020-03-28,5239,False,5,True,3,28
2020-03-29,4676,False,6,True,3,29
2020-03-30,1397,False,0,False,3,30
2020-03-31,10664,False,1,False,3,31
2020-04-01,8395,False,2,False,4,1
2020-04-02,3359,False,3,False,4,2
2020-04-03,2983,False,4,False,4,3
2020-04-04,1564,False,5,True,4,4
2020-04-05,1395,False,6,True,4,5
2020-04-06,7154,False,0,False,4,6
2020-04-07,3054,False,1,False,4,7
2020-04-08,4009,False,2,False,4,8
2020-04-09,4675,False,3,False,4,9
2020-04-10,2629,False,4,False,4,10
2020-04-11,2011,False,5,True,4,11
2020-04-12,3266,False,6,True,4,12
2020-04-13,12367,False,0,False,4,13
2020-04-14,13213,False,1,False,4,14
2020-04-15,4596,False,2,False,4,15
2020-04-16,20924,False,3,False,4,16
2020-04-17,3736,False,4,False,4,17
2020-04-18,4869,False,5,True,4,18
2020-04-19,5601,False,6,True,4,19
2020-04-20,1719,True,0,False,4,20
2020-04-21,2117,False,1,False,4,21
2020-04-22,3403,False,2,False,4,22
2020-04-23,13726,False,3,False,4,23
2020-04-24,7472,False,4,False,4,24
2020-04-25,3420,False,5,True,4,25
2020-04-26,5068,False,6,True,4,26
2020-04-27,15682,False,0,False,4,27
2020-04-28,12539,False,1,False,4,28
2020-04-29,17798,False,2,False,4,29
2020-04-30,16399,False,3,False,4,30
2020-05-01,5224,True,4,False,5,1
2020-05-02,4307,False,5,True,5,2
2020-05-03,18592,False,6,True,5,3
2020-05-04,5209,False,0,False,5,4
2020-05-05,4327,False,1,False,5,5
2020-05-06,4367,False,2,False,5,6
2020-05-07,8077,False,3,False,5,7
2020-05-08,9322,False,4,False,5,8
2020-05-09,3215,False,5,True,5,9
2020-05-10,5204,False,6,True,5,10
2020-05-11,11364,False,0,False,5,11
2020-05-12,12223,False,1,False,5,12
2020-05-13,4369,False,2,False,5,13
2020-05-14,5733,False,3,False,5,14
2020-05-15,21290,False,4,False,5,15
2020-05-16,9162,False,5,True,5,16
2020-05-17,3372,False,6,True,5,17
2020-05-18,4681,False,0,False,5,18
2020-05-19,3567,False,1,False,5,19
2020-05-20,3650,False,2,False,5,20
2020-05-21,5302,False,3,False,5,21
2020-05-22,3791,False,4,False,5,22
2020-05-23,8317,False,5,True,5,23
2020-05-24,3452,False,6,True,5,24
2020-05-25,8718,False,0,False,5,25
2020-05-26,14208,False,1,False,5,26
2020-05-27,9605,False,2,False,5,27
2020-05-28,10233,False,3,False,5,28
2020-05-29,22282,False,4,False,5,29
2020-05-30,6272,False,5,True,5,30
2020-05-31,3104,False,6,True,5,31
2020-06-01,10562,False,0,False,6,1
2020-06-02,8892,False,1,False,6,2
2020-06-03,8805,False,2,False,6,3
2020-06-04,4160,False,3,False,6,4
2020-06-05,12247,False,4,False,6,5
2020-06-06,4792,False,5,True,6,6
2020-06-07,2821,False,6,True,6,7
2020-06-08,5125,True,0,False,6,8
2020-06-09,23124,False,1,False,6,9
2020-06-10,7115,False,2,False,6,10
2020-06-11,11746,False,3,False,6,11
2020-06-12,7552,False,4,False,6,12
2020-06-13,3584,False,5,True,6,13
2020-06-14,3524,False,6,True,6,14
2020-06-15,12628,False,0,False,6,15
2020-06-16,5904,False,1,False,6,16
2020-06-17,6223,False,2,False,6,17
2020-06-18,7802,False,3,False,6,18
