date,Steps,is_holiday,day_of_week,is_weekend,month,day_in_month
2019-11-05,89,False,1,False,11,5
2019-11-06,4213,False,2,False,11,6
2019-11-07,694,False,3,False,11,7
2019-11-08,11947,False,4,False,11,8
2019-11-09,10638,False,5,True,11,9
2019-11-10,426,False,6,True,11,10
2019-11-11,0,False,0,False,11,11
2019-11-12,6810,False,1,False,11,12
2019-11-13,8273,False,2,False,11,13
2019-11-14,9298,False,3,False,11,14
2019-11-15,15522,False,4,False,11,15
2019-11-16,22481,False,5,True,11,16
2019-11-17,16488,False,6,True,11,17
2019-11-18,19850,False,0,False,11,18
2019-11-19,11342,False,1,False,11,19
2019-11-20,12673,False,2,False,11,20
2019-11-21,10491,False,3,False,11,21
2019-11-22,11026,False,4,False,11,22
2019-11-23,3383,False,5,True,11,23
2019-11-24,1329,False,6,True,11,24
2019-11-25,13345,False,0,False,11,25
2019-11-26,3992,False,1,False,11,26
2019-11-27,8714,False,2,False,11,27
2019-11-28,772,False,3,False,11,28
2019-11-29,13450,False,4,False,11,29
2019-11-30,3864,False,5,True,11,30
2019-12-01,761,False,6,True,12,1
2019-12-02,1909,False,0,False,12,2
2019-12-03,9685,False,1,False,12,3
2019-12-04,4010,False,2,False,12,4
2019-12-05,13547,False,3,False,12,5
2019-12-06,8070,False,4,False,12,6
2019-12-07,3755,False,5,True,12,7
2019-12-08,452,False,6,True,12,8
2019-12-09,1322,False,0,False,12,9
2019-12-10,9025,False,1,False,12,10
2019-12-11,8670,False,2,False,12,11
2019-12-12,7422,False,3,False,12,12
2019-12-13,11203,False,4,False,12,13
2019-12-14,3693,False,5,True,12,14
2019-12-15,9620,False,6,True,12,15
2019-12-16,570,False,0,False,12,16
2019-12-17,8253,False,1,False,12,17
2019-12-18,10726,False,2,False,12,18
2019-12-19,8948,False,3,False,12,19
2019-12-20,22113,False,4,False,12,20
2019-12-21,3357,False,5,True,12,21
2019-12-22,1110,False,6,True,12,22
2019-12-23,705,False,0,False,12,23
2019-12-24,7097,False,1,False,12,24
2019-12-25,2800,True,2,False,12,25
2019-12-26,266,True,3,False,12,26
2019-12-27,7830,False,4,False,12,27
2019-12-28,3598,False,5,True,12,28
2019-12-29,689,False,6,True,12,29
2019-12-30,4041,False,0,False,12,30
2019-12-31,172,False,1,False,12,31
2020-01-01,2249,True,2,False,1,1
2020-01-02,5785,False,3,False,1,2
2020-01-03,447,False,4,False,1,3
2020-01-04,10563,False,5,True,1,4
2020-01-05,790,False,6,True,1,5
2020-01-06,3611,True,0,False,1,6
2020-01-07,8295,False,1,False,1,7
2020-01-08,6971,False,2,False,1,8
2020-01-09,7345,False,3,False,1,9
2020-01-10,10213,False,4,False,1,10
2020-01-11,3827,False,5,True,1,11
2020-01-12,2756,False,6,True,1,12
2020-01-13,7963,False,0,False,1,13
2020-01-14,9440,False,1,False,1,14
2020-01-15,903,False,2,False,1,15
2020-01-16,939,False,3,False,1,16
2020-01-17,10059,False,4,False,1,17
2020-01-18,931,False,5,True,1,18
2020-01-19,3349,False,6,True,1,19
2020-01-20,13981,False,0,False,1,20
2020-01-21,5648,False,1,False,1,21
2020-01-22,1096,False,2,False,1,22
2020-01-23,1007,False,3,False,1,23
2020-01-24,7317,False,4,False,1,24
2020-01-25,9048,False,5,True,1,25
2020-01-26,4397,False,6,True,1,26
2020-01-27,6008,False,0,False,1,27
2020-01-28,5671,False,1,False,1,28
2020-01-29,3670,False,2,False,1,29
2020-01-30,4655,False,3,False,1,30
2020-01-31,5605,False,4,False,1,31
