date,Steps,is_holiday,day_of_week,is_weekend,month,day_in_month
2018-08-06,9,False,0,False,8,6
2018-08-07,1105,False,1,False,8,7
2018-08-08,7012,False,2,False,8,8
2018-08-09,2994,False,3,False,8,9
2018-08-10,3866,False,4,False,8,10
2018-08-11,2655,False,5,True,8,11
2018-08-12,4399,False,6,True,8,12
2018-08-13,4365,False,0,False,8,13
2018-08-14,2864,False,1,False,8,14
2018-08-15,6384,True,2,False,8,15
2018-08-16,3099,False,3,False,8,16
2018-08-17,6830,False,4,False,8,17
2018-08-18,1797,False,5,True,8,18
2018-08-19,4051,False,6,True,8,19
2018-08-20,3852,False,0,False,8,20
2018-08-21,2650,False,1,False,8,21
2018-08-22,3254,False,2,False,8,22
2018-08-23,2925,False,3,False,8,23
2018-08-24,3139,False,4,False,8,24
2018-08-25,210,False,5,True,8,25
2018-08-26,286,False,6,True,8,26
2018-08-27,2897,False,0,False,8,27
2018-08-28,2181,False,1,False,8,28
2018-08-29,4788,False,2,False,8,29
2018-08-30,6402,False,3,False,8,30
2018-08-31,3430,False,4,False,8,31
2018-09-01,2262,False,5,True,9,1
2018-09-02,2651,False,6,True,9,2
2018-09-03,1674,False,0,False,9,3
2018-09-04,1497,False,1,False,9,4
2018-09-05,2250,False,2,False,9,5
2018-09-06,6714,False,3,False,9,6
2018-09-07,5195,False,4,False,9,7
2018-09-08,3458,False,5,True,9,8
2018-09-09,1110,False,6,True,9,9
2018-09-10,3128,False,0,False,9,10
2018-09-11,3738,False,1,False,9,11
2018-09-12,2692,False,2,False,9,12
2018-09-13,1928,False,3,False,9,13
2018-09-14,10638,False,4,False,9,14
2018-09-15,418,False,5,True,9,15
2018-09-16,557,False,6,True,9,16
2018-09-17,2352,False,0,False,9,17
2018-09-18,2835,False,1,False,9,18
2018-09-19,2872,False,2,False,9,19
2018-09-20,4630,False,3,False,9,20
2018-09-21,3580,False,4,False,9,21
2018-09-22,11109,False,5,True,9,22
2018-09-23,3784,False,6,True,9,23
2018-09-24,5014,False,0,False,9,24
2018-09-25,1629,False,1,False,9,25
2018-09-26,6786,False,2,False,9,26
2018-09-27,3164,False,3,False,9,27
2018-09-28,3341,False,4,False,9,28
2018-09-29,956,False,5,True,9,29
2018-09-30,434,False,6,True,9,30
2018-10-01,1811,False,0,False,10,1
2018-10-02,1776,False,1,False,10,2
2018-10-03,3028,False,2,False,10,3
2018-10-04,3946,False,3,False,10,4
2018-10-05,2985,False,4,False,10,5
2018-10-06,1827,False,5,True,10,6
2018-10-07,5038,False,6,True,10,7
2018-10-08,2563,False,0,False,10,8
2018-10-09,1714,False,1,False,10,9
2018-10-10,3153,False,2,False,10,10
2018-10-11,3051,False,3,False,10,11
2018-10-12,2024,False,4,False,10,12
2018-10-13,5530,False,5,True,10,13
2018-10-14,3328,False,6,True,10,14
2018-10-15,1722,False,0,False,10,15
2018-10-16,3546,False,1,False,10,16
2018-10-17,2696,False,2,False,10,17
2018-10-18,2904,False,3,False,10,18
2018-10-19,2909,False,4,False,10,19
2018-10-20,1814,False,5,True,10,20
2018-10-21,3125,False,6,True,10,21
2018-10-22,1816,False,0,False,10,22
2018-10-23,2488,False,1,False,10,23
2018-10-24,3762,False,2,False,10,24
2018-10-25,4144,False,3,False,10,25
2018-10-26,5801,False,4,False,10,26
2018-10-27,5395,False,5,True,10,27
2018-10-28,2223,True,6,True,10,28
2018-10-29,4921,False,0,False,10,29
2018-10-30,4878,False,1,False,10,30
2018-10-31,2718,False,2,False,10,31
2018-11-01,2765,False,3,False,11,1
2018-11-02,4055,False,4,False,11,2
2018-11-03,517,False,5,True,11,3
2018-11-04,3905,False,6,True,11,4
2018-11-05,1821,False,0,False,11,5
2018-11-06,2039,False,1,False,11,6
2018-11-07,4059,False,2,False,11,7
2018-11-08,2762,False,3,False,11,8
2018-11-09,324,False,4,False,11,9
2018-11-10,466,False,5,True,11,10
2018-11-11,803,False,6,True,11,11
2018-11-12,2481,False,0,False,11,12
2018-11-13,1810,False,1,False,11,13
2018-11-14,2978,False,2,False,11,14
2018-11-15,2760,False,3,False,11,15
2018-11-16,2021,False,4,False,11,16
2018-11-17,1135,False,5,True,11,17
2018-11-18,780,False,6,True,11,18
2018-11-19,1792,False,0,False,11,19
2018-11-20,1592,False,1,False,11,20
2018-11-21,2323,False,2,False,11,21
2018-11-22,1774,False,3,False,11,22
2018-11-23,1601,False,4,False,11,23
2018-11-24,5302,False,5,True,11,24
2018-11-25,1697,False,6,True,11,25
2018-11-26,1990,False,0,False,11,26
2018-11-27,2005,False,1,False,11,27
2018-11-28,2637,False,2,False,11,28
2018-11-29,3192,False,3,False,11,29
2018-11-30,3257,False,4,False,11,30
2018-12-01,1125,False,5,True,12,1
2018-12-02,3651,False,6,True,12,2
2018-12-03,2585,False,0,False,12,3
2018-12-04,2658,False,1,False,12,4
2018-12-05,3195,False,2,False,12,5
2018-12-06,3628,False,3,False,12,6
2018-12-07,2046,False,4,False,12,7
2018-12-08,4170,False,5,True,12,8
2018-12-09,1876,False,6,True,12,9
2018-12-10,1845,False,0,False,12,10
2018-12-11,1857,False,1,False,12,11
2018-12-12,3203,False,2,False,12,12
2018-12-13,2057,False,3,False,12,13
2018-12-14,2307,False,4,False,12,14
2018-12-15,1767,False,5,True,12,15
2018-12-16,599,False,6,True,12,16
2018-12-17,1959,False,0,False,12,17
2018-12-18,2926,False,1,False,12,18
2018-12-19,6087,False,2,False,12,19
2018-12-20,4481,False,3,False,12,20
2018-12-21,2067,False,4,False,12,21
2018-12-22,426,False,5,True,12,22
2018-12-23,239,False,6,True,12,23
2018-12-24,3156,False,0,False,12,24
2018-12-25,1620,True,1,False,12,25
2018-12-26,1842,True,2,False,12,26
2018-12-27,5270,False,3,False,12,27
2018-12-28,278,False,4,False,12,28
2018-12-29,3241,False,5,True,12,29
2018-12-30,1421,False,6,True,12,30
2018-12-31,6247,False,0,False,12,31
2019-01-01,1821,True,1,False,1,1
2019-01-02,846,False,2,False,1,2
2019-01-03,2319,False,3,False,1,3
2019-01-04,3500,False,4,False,1,4
2019-01-05,6559,False,5,True,1,5
2019-01-06,6660,True,6,True,1,6
2019-01-07,4062,False,0,False,1,7
2019-01-08,2552,False,1,False,1,8
2019-01-09,3098,False,2,False,1,9
2019-01-10,2592,False,3,False,1,10
2019-01-11,2531,False,4,False,1,11
2019-01-12,169,False,5,True,1,12
2019-01-13,181,False,6,True,1,13
2019-01-14,2301,False,0,False,1,14
2019-01-15,1795,False,1,False,1,15
2019-01-16,2121,False,2,False,1,16
2019-01-17,2161,False,3,False,1,17
2019-01-18,4457,False,4,False,1,18
2019-01-19,1028,False,5,True,1,19
2019-01-20,49,False,6,True,1,20
2019-01-21,390,False,0,False,1,21
2019-01-22,603,False,1,False,1,22
2019-01-23,1488,False,2,False,1,23
2019-01-24,3625,False,3,False,1,24
2019-01-25,3181,False,4,False,1,25
2019-01-26,15031,False,5,True,1,26
2019-01-27,12238,False,6,True,1,27
2019-01-28,24544,False,0,False,1,28
2019-01-29,12680,False,1,False,1,29
2019-01-30,6691,False,2,False,1,30
2019-01-31,2890,False,3,False,1,31
2019-02-01,1932,False,4,False,2,1
2019-02-02,1340,False,5,True,2,2
2019-02-03,1038,False,6,True,2,3
2019-02-04,2672,False,0,False,2,4
2019-02-05,3112,False,1,False,2,5
2019-02-06,2543,False,2,False,2,6
2019-02-07,882,False,3,False,2,7
2019-02-08,171,False,4,False,2,8
2019-02-09,252,False,5,True,2,9
2019-02-10,808,False,6,True,2,10
2019-02-11,3018,False,0,False,2,11
2019-02-12,2105,False,1,False,2,12
2019-02-13,2394,False,2,False,2,13
2019-02-14,3480,False,3,False,2,14
2019-02-15,5094,False,4,False,2,15
2019-02-16,169,False,5,True,2,16
2019-02-17,663,False,6,True,2,17
