date,Steps,is_holiday,day_of_week,is_weekend,month,day_in_month
2020-05-21,1226,False,3,False,5,21
2020-05-22,3396,False,4,False,5,22
2020-05-23,393,False,5,True,5,23
2020-05-24,2498,False,6,True,5,24
2020-05-25,3693,False,0,False,5,25
2020-05-26,1284,False,1,False,5,26
2020-05-27,3081,False,2,False,5,27
2020-05-28,5069,False,3,False,5,28
2020-05-29,7162,False,4,False,5,29
2020-05-30,2652,False,5,True,5,30
2020-05-31,641,False,6,True,5,31
2020-06-01,8142,False,0,False,6,1
2020-06-02,4416,False,1,False,6,2
2020-06-03,7047,False,2,False,6,3
2020-06-04,5036,False,3,False,6,4
2020-06-05,3572,False,4,False,6,5
2020-06-06,553,False,5,True,6,6
2020-06-07,1944,False,6,True,6,7
2020-06-08,5138,True,0,False,6,8
2020-06-09,4810,False,1,False,6,9
2020-06-10,4621,False,2,False,6,10
2020-06-11,4877,False,3,False,6,11
2020-06-12,3991,False,4,False,6,12
2020-06-13,1421,False,5,True,6,13
2020-06-14,7546,False,6,True,6,14
2020-06-15,9019,False,0,False,6,15
2020-06-16,5854,False,1,False,6,16
2020-06-17,3128,False,2,False,6,17
2020-06-18,5029,False,3,False,6,18
2020-06-19,5918,False,4,False,6,19
2020-06-20,2190,False,5,True,6,20
2020-06-21,2554,False,6,True,6,21
2020-06-22,4005,False,0,False,6,22
2020-06-23,4106,False,1,False,6,23
2020-06-24,4919,False,2,False,6,24
2020-06-25,4811,False,3,False,6,25
2020-06-26,3847,False,4,False,6,26
2020-06-27,2793,False,5,True,6,27
2020-06-28,1265,False,6,True,6,28
2020-06-29,5019,False,0,False,6,29
2020-06-30,5035,False,1,False,6,30
2020-07-01,4351,False,2,False,7,1
2020-07-02,1064,False,3,False,7,2
2020-07-03,701,False,4,False,7,3
2020-07-04,1520,False,5,True,7,4
2020-07-05,2324,False,6,True,7,5
2020-07-06,2922,False,0,False,7,6
2020-07-07,4341,False,1,False,7,7
2020-07-08,6318,False,2,False,7,8
2020-07-09,3045,False,3,False,7,9
2020-07-10,4704,False,4,False,7,10
2020-07-11,1685,False,5,True,7,11
2020-07-12,393,False,6,True,7,12
