date,Steps,is_holiday,day_of_week,is_weekend,month,day_in_month
2015-10-22,460,False,3,False,10,22
2015-10-23,6103,False,4,False,10,23
2015-10-24,7898,False,5,True,10,24
2015-10-25,968,False,6,True,10,25
2015-10-26,4886,False,0,False,10,26
2015-10-27,8321,False,1,False,10,27
2015-10-28,5332,True,2,False,10,28
2015-10-29,8375,False,3,False,10,29
2015-10-30,5873,False,4,False,10,30
2015-10-31,2330,False,5,True,10,31
2015-11-01,4298,False,6,True,11,1
2015-11-02,4713,False,0,False,11,2
2015-11-03,6346,False,1,False,11,3
2015-11-04,10953,False,2,False,11,4
2015-11-05,7080,False,3,False,11,5
2015-11-06,7615,False,4,False,11,6
2015-11-07,9366,False,5,True,11,7
2015-11-08,3166,False,6,True,11,8
2015-11-09,9962,False,0,False,11,9
2015-11-10,7655,False,1,False,11,10
2015-11-11,9899,False,2,False,11,11
2015-11-12,9842,False,3,False,11,12
2015-11-13,5967,False,4,False,11,13
2015-11-14,9604,False,5,True,11,14
2015-11-15,3711,False,6,True,11,15
2015-11-16,7417,False,0,False,11,16
2015-11-17,7041,False,1,False,11,17
2015-11-18,12332,False,2,False,11,18
2015-11-19,7253,False,3,False,11,19
2015-11-20,11700,False,4,False,11,20
2015-11-21,10677,False,5,True,11,21
2015-11-22,6839,False,6,True,11,22
2015-11-23,8165,False,0,False,11,23
2015-11-24,10141,False,1,False,11,24
2015-11-25,8495,False,2,False,11,25
2015-11-26,3294,False,3,False,11,26
2015-11-27,4131,False,4,False,11,27
2015-11-28,5857,False,5,True,11,28
2015-11-29,903,False,6,True,11,29
2015-11-30,10457,False,0,False,11,30
2015-12-01,5969,False,1,False,12,1
2015-12-02,5119,False,2,False,12,2
2015-12-03,8484,False,3,False,12,3
2015-12-04,7554,False,4,False,12,4
2015-12-05,7672,False,5,True,12,5
2015-12-06,1861,False,6,True,12,6
2015-12-07,9428,False,0,False,12,7
2015-12-08,10428,False,1,False,12,8
2015-12-09,9464,False,2,False,12,9
2015-12-10,7950,False,3,False,12,10
2015-12-11,5074,False,4,False,12,11
2015-12-12,6928,False,5,True,12,12
2015-12-13,6235,False,6,True,12,13
2015-12-14,4380,False,0,False,12,14
2015-12-15,7483,False,1,False,12,15
2015-12-16,6350,False,2,False,12,16
2015-12-17,7696,False,3,False,12,17
2015-12-18,5384,False,4,False,12,18
2015-12-19,6511,False,5,True,12,19
2015-12-20,4520,False,6,True,12,20
2015-12-21,9414,False,0,False,12,21
2015-12-22,8099,False,1,False,12,22
2015-12-23,15319,False,2,False,12,23
2015-12-24,5844,False,3,False,12,24
2015-12-25,2243,True,4,False,12,25
2015-12-26,1532,True,5,True,12,26
2015-12-27,3481,False,6,True,12,27
2015-12-28,8608,False,0,False,12,28
2015-12-29,9295,False,1,False,12,29
2015-12-30,10420,False,2,False,12,30
2015-12-31,11284,False,3,False,12,31
2016-01-01,1458,True,4,False,1,1
2016-01-02,6887,False,5,True,1,2
2016-01-03,1153,False,6,True,1,3
2016-01-04,9951,False,0,False,1,4
2016-01-05,5270,False,1,False,1,5
2016-01-06,1417,True,2,False,1,6
2016-01-07,7179,False,3,False,1,7
2016-01-08,9247,False,4,False,1,8
2016-01-09,11520,False,5,True,1,9
2016-01-10,2519,False,6,True,1,10
2016-01-11,8005,False,0,False,1,11
2016-01-12,9897,False,1,False,1,12
2016-01-13,8401,False,2,False,1,13
