date,Steps,is_holiday,day_of_week,is_weekend,month,day_in_month
2017-10-16,24,False,0,False,10,16
2018-01-15,2343,False,0,False,1,15
2018-01-16,3656,False,1,False,1,16
2018-01-17,7353,False,2,False,1,17
2018-01-18,1738,False,3,False,1,18
2018-01-19,3401,False,4,False,1,19
2018-01-20,9650,False,5,True,1,20
2018-01-21,2651,False,6,True,1,21
2018-01-22,2924,False,0,False,1,22
2018-01-23,7033,False,1,False,1,23
2018-01-24,3076,False,2,False,1,24
2018-01-25,1707,False,3,False,1,25
2018-01-26,3686,False,4,False,1,26
2018-01-27,441,False,5,True,1,27
2018-01-28,1828,False,6,True,1,28
2018-01-29,3557,False,0,False,1,29
2018-01-30,826,False,1,False,1,30
2018-01-31,3420,False,2,False,1,31
2018-02-01,4873,False,3,False,2,1
2018-02-02,6357,False,4,False,2,2
2018-02-03,2570,False,5,True,2,3
2018-02-04,5259,False,6,True,2,4
2018-02-05,1571,False,0,False,2,5
2018-02-06,7095,False,1,False,2,6
2018-02-07,3756,False,2,False,2,7
2018-02-08,1490,False,3,False,2,8
2018-02-09,2832,False,4,False,2,9
2018-02-10,7496,False,5,True,2,10
2018-02-11,1007,False,6,True,2,11
2018-02-12,1071,False,0,False,2,12
2018-02-13,375,False,1,False,2,13
2018-02-14,2123,False,2,False,2,14
2018-02-15,377,False,3,False,2,15
2018-02-16,1700,False,4,False,2,16
2018-02-17,3977,False,5,True,2,17
2018-02-18,6005,False,6,True,2,18
2018-02-19,2765,True,0,False,2,19
2018-02-20,3215,False,1,False,2,20
2018-02-21,3587,False,2,False,2,21
2018-02-22,2528,False,3,False,2,22
2018-02-23,4662,False,4,False,2,23
2018-02-24,2691,False,5,True,2,24
2018-02-25,3584,False,6,True,2,25
2018-02-26,2367,False,0,False,2,26
2018-02-27,5703,False,1,False,2,27
2018-02-28,4119,False,2,False,2,28
2018-03-01,3046,False,3,False,3,1
2018-03-02,2326,False,4,False,3,2
2018-03-03,4764,False,5,True,3,3
2018-03-04,8787,False,6,True,3,4
2018-03-05,1728,False,0,False,3,5
2018-03-06,1572,False,1,False,3,6
2018-03-07,4126,False,2,False,3,7
2018-03-08,2057,False,3,False,3,8
2018-03-09,2560,False,4,False,3,9
2018-03-10,3597,False,5,True,3,10
2018-03-11,4139,False,6,True,3,11
2018-03-12,3110,False,0,False,3,12
