date,Steps,is_holiday,day_of_week,is_weekend,month,day_in_month
2019-01-01,8380,True,1,False,1,1
2019-01-02,3180,False,2,False,1,2
2019-01-03,10534,False,3,False,1,3
2019-01-04,9955,False,4,False,1,4
2019-01-05,2200,False,5,True,1,5
2019-01-06,3103,True,6,True,1,6
2019-01-07,5834,False,0,False,1,7
2019-01-08,6003,False,1,False,1,8
2019-01-09,6203,False,2,False,1,9
2019-01-10,7597,False,3,False,1,10
2019-01-11,6213,False,4,False,1,11
2019-01-12,2558,False,5,True,1,12
2019-01-13,2185,False,6,True,1,13
2019-01-14,8524,False,0,False,1,14
2019-01-15,1112,False,1,False,1,15
2019-01-16,7283,False,2,False,1,16
2019-01-17,9711,False,3,False,1,17
2019-01-18,7179,False,4,False,1,18
2019-01-19,8495,False,5,True,1,19
2019-01-20,10047,False,6,True,1,20
2019-01-21,7557,False,0,False,1,21
2019-01-22,7261,False,1,False,1,22
2019-01-23,2301,False,2,False,1,23
2019-01-24,10609,False,3,False,1,24
2019-01-25,3209,False,4,False,1,25
2019-01-26,5851,False,5,True,1,26
2019-01-27,1737,False,6,True,1,27
2019-01-28,9078,False,0,False,1,28
2019-01-29,2450,False,1,False,1,29
2019-01-30,6626,False,2,False,1,30
2019-01-31,12664,False,3,False,1,31
2019-02-01,7073,False,4,False,2,1
2019-02-02,10796,False,5,True,2,2
2019-02-03,6319,False,6,True,2,3
2019-02-04,8446,False,0,False,2,4
2019-02-05,1483,False,1,False,2,5
2019-02-06,6667,False,2,False,2,6
2019-02-07,5807,False,3,False,2,7
2019-02-08,9473,False,4,False,2,8
2019-02-09,3213,False,5,True,2,9
2019-02-10,6258,False,6,True,2,10
2019-02-11,11645,False,0,False,2,11
2019-02-12,8990,False,1,False,2,12
2019-02-13,13418,False,2,False,2,13
2019-02-14,10945,False,3,False,2,14
2019-02-15,14216,False,4,False,2,15
2019-02-16,14811,False,5,True,2,16
2019-02-17,9813,False,6,True,2,17
2019-02-18,15685,False,0,False,2,18
2019-02-19,6982,False,1,False,2,19
2019-02-20,7013,False,2,False,2,20
2019-02-21,9193,False,3,False,2,21
2019-02-22,8141,False,4,False,2,22
2019-02-23,5170,False,5,True,2,23
2019-02-24,1604,False,6,True,2,24
2019-02-25,6272,False,0,False,2,25
2019-02-26,5899,False,1,False,2,26
2019-02-27,12895,False,2,False,2,27
2019-02-28,12330,False,3,False,2,28
2019-03-01,14160,False,4,False,3,1
2019-03-02,1230,False,5,True,3,2
2019-03-03,11471,False,6,True,3,3
2019-03-04,18026,False,0,False,3,4
2019-03-05,11820,False,1,False,3,5
2019-03-06,6905,False,2,False,3,6
2019-03-07,5950,False,3,False,3,7
2019-03-08,16655,False,4,False,3,8
2019-03-09,6955,False,5,True,3,9
2019-03-10,5628,False,6,True,3,10
2019-03-11,11760,True,0,False,3,11
2019-03-12,8239,False,1,False,3,12
2019-03-13,151,False,2,False,3,13
2019-03-14,10257,False,3,False,3,14
2019-03-15,11203,False,4,False,3,15
2019-03-16,2131,False,5,True,3,16
2019-03-17,17862,False,6,True,3,17
2019-03-18,15780,False,0,False,3,18
2019-03-19,4740,False,1,False,3,19
2019-03-20,9317,False,2,False,3,20
2019-03-21,8585,False,3,False,3,21
2019-03-22,9867,False,4,False,3,22
