date,Steps,is_holiday,day_of_week,is_weekend,month,day_in_month
2019-11-18,12041,False,0,False,11,18
2019-11-19,3497,False,1,False,11,19
2019-11-20,6240,False,2,False,11,20
2019-11-21,2259,False,3,False,11,21
2019-11-22,4199,False,4,False,11,22
2019-11-23,791,False,5,True,11,23
2019-11-24,754,False,6,True,11,24
2019-11-25,4828,False,0,False,11,25
2019-11-26,1731,False,1,False,11,26
2019-11-27,1242,False,2,False,11,27
2019-11-28,8789,False,3,False,11,28
2019-11-29,13073,False,4,False,11,29
2019-11-30,1131,False,5,True,11,30
2019-12-01,1359,False,6,True,12,1
2019-12-02,11199,False,0,False,12,2
2019-12-03,2157,False,1,False,12,3
2019-12-04,2127,False,2,False,12,4
2019-12-05,9316,False,3,False,12,5
2019-12-06,778,False,4,False,12,6
2019-12-07,1338,False,5,True,12,7
2019-12-08,2738,False,6,True,12,8
2019-12-09,12312,False,0,False,12,9
2019-12-10,3125,False,1,False,12,10
2019-12-11,2005,False,2,False,12,11
2019-12-12,1297,False,3,False,12,12
2019-12-13,9571,False,4,False,12,13
2019-12-14,3460,False,5,True,12,14
2019-12-15,2078,False,6,True,12,15
2019-12-16,10527,False,0,False,12,16
2019-12-17,10394,False,1,False,12,17
2019-12-18,11166,False,2,False,12,18
2019-12-19,2556,False,3,False,12,19
2019-12-20,11336,False,4,False,12,20
2019-12-21,4049,False,5,True,12,21
2019-12-22,1287,False,6,True,12,22
2019-12-23,3919,False,0,False,12,23
2019-12-24,4382,False,1,False,12,24
2019-12-25,1898,True,2,False,12,25
2019-12-26,520,True,3,False,12,26
2019-12-27,3882,False,4,False,12,27
2019-12-28,979,False,5,True,12,28
2019-12-29,604,False,6,True,12,29
2019-12-30,522,False,0,False,12,30
2019-12-31,1408,False,1,False,12,31
2020-01-01,1174,True,2,False,1,1
2020-01-02,4794,False,3,False,1,2
2020-01-03,8601,False,4,False,1,3
2020-01-04,1130,False,5,True,1,4
2020-01-05,777,False,6,True,1,5
2020-01-06,882,True,0,False,1,6
2020-01-07,3384,False,1,False,1,7
2020-01-08,8784,False,2,False,1,8
2020-01-09,10611,False,3,False,1,9
2020-01-10,8445,False,4,False,1,10
2020-01-11,1177,False,5,True,1,11
2020-01-12,451,False,6,True,1,12
2020-01-13,12546,False,0,False,1,13
2020-01-14,2755,False,1,False,1,14
2020-01-15,894,False,2,False,1,15
2020-01-16,580,False,3,False,1,16
2020-01-17,3433,False,4,False,1,17
2020-01-18,1385,False,5,True,1,18
2020-01-19,975,False,6,True,1,19
2020-01-20,12443,False,0,False,1,20
2020-01-21,10788,False,1,False,1,21
2020-01-22,12406,False,2,False,1,22
2020-01-23,6203,False,3,False,1,23
2020-01-24,2503,False,4,False,1,24
2020-01-25,840,False,5,True,1,25
2020-01-26,2142,False,6,True,1,26
2020-01-27,4063,False,0,False,1,27
2020-01-28,10149,False,1,False,1,28
2020-01-29,7806,False,2,False,1,29
2020-01-30,727,False,3,False,1,30
