date,Steps,is_holiday,day_of_week,is_weekend,month,day_in_month
2018-08-08,2651,False,2,False,8,8
2018-08-09,1279,False,3,False,8,9
2018-08-10,6216,False,4,False,8,10
2018-08-11,1570,False,5,True,8,11
2018-08-12,840,False,6,True,8,12
2018-08-13,1105,False,0,False,8,13
2018-08-14,1766,False,1,False,8,14
2018-08-15,867,True,2,False,8,15
2018-08-16,2206,False,3,False,8,16
2018-08-17,2266,False,4,False,8,17
2018-08-18,7704,False,5,True,8,18
2018-08-19,1835,False,6,True,8,19
2018-08-20,64,False,0,False,8,20
2018-08-21,1160,False,1,False,8,21
2018-08-22,1659,False,2,False,8,22
2018-08-23,1757,False,3,False,8,23
2018-08-24,4410,False,4,False,8,24
2018-08-25,371,False,5,True,8,25
2018-08-26,2149,False,6,True,8,26
2018-08-27,773,False,0,False,8,27
2018-08-28,1775,False,1,False,8,28
2018-08-29,1218,False,2,False,8,29
2018-08-30,2273,False,3,False,8,30
2018-08-31,8140,False,4,False,8,31
2018-09-01,5192,False,5,True,9,1
2018-09-02,2605,False,6,True,9,2
2018-09-03,4165,False,0,False,9,3
2018-09-04,11231,False,1,False,9,4
2018-09-05,8609,False,2,False,9,5
2018-09-06,7848,False,3,False,9,6
2018-09-07,1795,False,4,False,9,7
2018-09-08,6058,False,5,True,9,8
2018-09-09,446,False,6,True,9,9
2018-09-10,4201,False,0,False,9,10
2018-09-11,284,False,1,False,9,11
2018-09-12,7219,False,2,False,9,12
2018-09-13,2406,False,3,False,9,13
2018-09-14,2176,False,4,False,9,14
2018-09-15,1061,False,5,True,9,15
2018-09-16,5079,False,6,True,9,16
2018-09-17,1176,False,0,False,9,17
2018-09-18,2380,False,1,False,9,18
2018-09-19,1548,False,2,False,9,19
2018-09-20,1290,False,3,False,9,20
2018-09-21,1308,False,4,False,9,21
2018-09-22,1102,False,5,True,9,22
2018-09-23,6332,False,6,True,9,23
2018-09-24,11437,False,0,False,9,24
2018-09-25,7644,False,1,False,9,25
2018-09-26,8355,False,2,False,9,26
2018-09-27,6385,False,3,False,9,27
2018-09-28,4287,False,4,False,9,28
2018-09-29,3609,False,5,True,9,29
2018-09-30,1839,False,6,True,9,30
2018-10-01,528,False,0,False,10,1
2018-10-02,1126,False,1,False,10,2
2018-10-03,5261,False,2,False,10,3
2018-10-04,5261,False,3,False,10,4
2018-10-05,9863,False,4,False,10,5
2018-10-06,6629,False,5,True,10,6
2018-10-07,3944,False,6,True,10,7
2018-10-08,13256,False,0,False,10,8
2018-10-17,3760,False,2,False,10,17
2018-10-20,3416,False,5,True,10,20
2018-10-21,1023,False,6,True,10,21
2018-10-22,1094,False,0,False,10,22
2018-10-23,758,False,1,False,10,23
2018-10-24,214,False,2,False,10,24
2018-10-25,1298,False,3,False,10,25
2018-10-26,1173,False,4,False,10,26
2018-10-27,1895,False,5,True,10,27
2018-10-28,2885,True,6,True,10,28
2018-10-29,4939,False,0,False,10,29
2018-10-30,1554,False,1,False,10,30
2018-10-31,7726,False,2,False,10,31
2018-11-01,9653,False,3,False,11,1
2018-11-02,4737,False,4,False,11,2
2018-11-03,6151,False,5,True,11,3
2018-11-04,829,False,6,True,11,4
2018-11-05,1490,False,0,False,11,5
2018-11-06,622,False,1,False,11,6
2018-11-07,20641,False,2,False,11,7
2018-11-17,1766,False,5,True,11,17
2018-11-18,2738,False,6,True,11,18
2018-11-19,480,False,0,False,11,19
2018-11-20,2165,False,1,False,11,20
2018-11-21,4587,False,2,False,11,21
2018-11-22,2773,False,3,False,11,22
2018-11-23,3436,False,4,False,11,23
2018-11-24,982,False,5,True,11,24
2018-11-25,4057,False,6,True,11,25
2018-11-26,481,False,0,False,11,26
2018-11-27,2040,False,1,False,11,27
2018-11-28,2220,False,2,False,11,28
2018-11-29,1217,False,3,False,11,29
2018-11-30,720,False,4,False,11,30
2018-12-01,3821,False,5,True,12,1
2018-12-02,4002,False,6,True,12,2
2018-12-03,1637,False,0,False,12,3
2018-12-04,1320,False,1,False,12,4
2018-12-05,2355,False,2,False,12,5
2018-12-06,60,False,3,False,12,6
2018-12-07,1898,False,4,False,12,7
2018-12-08,4939,False,5,True,12,8
2018-12-09,1956,False,6,True,12,9
2018-12-10,903,False,0,False,12,10
2018-12-11,1043,False,1,False,12,11
2018-12-12,1795,False,2,False,12,12
2018-12-13,2163,False,3,False,12,13
2018-12-14,1892,False,4,False,12,14
2018-12-15,5512,False,5,True,12,15
2018-12-16,3265,False,6,True,12,16
2018-12-17,1196,False,0,False,12,17
2018-12-18,879,False,1,False,12,18
2018-12-19,3788,False,2,False,12,19
2018-12-20,2571,False,3,False,12,20
2018-12-21,5168,False,4,False,12,21
2018-12-22,6104,False,5,True,12,22
2018-12-23,2310,False,6,True,12,23
2018-12-24,4158,False,0,False,12,24
2018-12-25,3089,True,1,False,12,25
2018-12-26,3779,True,2,False,12,26
2018-12-27,835,False,3,False,12,27
2018-12-28,5743,False,4,False,12,28
2018-12-29,1822,False,5,True,12,29
2018-12-30,2197,False,6,True,12,30
2018-12-31,741,False,0,False,12,31
2019-01-01,2876,True,1,False,1,1
2019-01-02,1047,False,2,False,1,2
2019-01-03,1493,False,3,False,1,3
2019-01-04,1196,False,4,False,1,4
2019-01-05,1170,False,5,True,1,5
2019-01-06,2106,True,6,True,1,6
2019-01-07,1344,False,0,False,1,7
2019-01-08,1099,False,1,False,1,8
2019-01-09,1578,False,2,False,1,9
2019-01-10,1121,False,3,False,1,10
2019-01-11,1506,False,4,False,1,11
2019-01-12,2068,False,5,True,1,12
2019-01-13,1307,False,6,True,1,13
2019-01-14,1090,False,0,False,1,14
2019-01-15,1780,False,1,False,1,15
2019-01-16,1118,False,2,False,1,16
2019-01-17,1153,False,3,False,1,17
2019-01-18,1552,False,4,False,1,18
2019-01-19,1286,False,5,True,1,19
2019-01-20,858,False,6,True,1,20
2019-01-21,792,False,0,False,1,21
2019-01-22,991,False,1,False,1,22
2019-01-23,1248,False,2,False,1,23
2019-01-24,1130,False,3,False,1,24
2019-01-25,1233,False,4,False,1,25
2019-01-26,4047,False,5,True,1,26
2019-01-27,2332,False,6,True,1,27
2019-01-28,1747,False,0,False,1,28
2019-01-29,1052,False,1,False,1,29
2019-01-30,1106,False,2,False,1,30
2019-01-31,1000,False,3,False,1,31
2019-02-01,6755,False,4,False,2,1
2019-02-02,2242,False,5,True,2,2
2019-02-03,3123,False,6,True,2,3
2019-02-04,2123,False,0,False,2,4
2019-02-05,1727,False,1,False,2,5
2019-02-06,19825,False,2,False,2,6
2019-02-07,15113,False,3,False,2,7
2019-02-08,14679,False,4,False,2,8
2019-02-09,7271,False,5,True,2,9
2019-02-10,699,False,6,True,2,10
2019-02-11,2331,False,0,False,2,11
2019-02-12,1378,False,1,False,2,12
2019-02-13,453,False,2,False,2,13
2019-02-14,1525,False,3,False,2,14
2019-02-15,1209,False,4,False,2,15
2019-02-16,520,False,5,True,2,16
2019-02-17,1633,False,6,True,2,17
2019-02-18,2888,False,0,False,2,18
2019-02-19,1661,False,1,False,2,19
2019-02-20,1319,False,2,False,2,20
2019-02-21,1354,False,3,False,2,21
2019-02-22,1542,False,4,False,2,22
2019-02-23,2230,False,5,True,2,23
2019-02-24,1518,False,6,True,2,24
2019-02-25,1317,False,0,False,2,25
2019-02-26,1152,False,1,False,2,26
2019-02-27,227,False,2,False,2,27
2019-02-28,1617,False,3,False,2,28
2019-03-01,1075,False,4,False,3,1
2019-03-02,2842,False,5,True,3,2
2019-03-03,1626,False,6,True,3,3
2019-03-04,514,False,0,False,3,4
2019-03-05,1750,False,1,False,3,5
2019-03-06,395,False,2,False,3,6
2019-03-07,1545,False,3,False,3,7
2019-03-08,1292,False,4,False,3,8
2019-03-09,207,False,5,True,3,9
2019-03-10,14369,False,6,True,3,10
2019-03-11,2031,True,0,False,3,11
2019-03-12,1982,False,1,False,3,12
2019-03-13,3120,False,2,False,3,13
2019-03-14,1357,False,3,False,3,14
2019-03-15,783,False,4,False,3,15
2019-03-16,1090,False,5,True,3,16
2019-03-17,2282,False,6,True,3,17
2019-03-18,2358,False,0,False,3,18
2019-03-19,2435,False,1,False,3,19
2019-03-20,2168,False,2,False,3,20
2019-03-21,2039,False,3,False,3,21
2019-03-22,2005,False,4,False,3,22
2019-03-23,1215,False,5,True,3,23
2019-03-24,170,False,6,True,3,24
2019-03-25,1145,True,0,False,3,25
2019-03-26,1592,False,1,False,3,26
2019-03-27,678,False,2,False,3,27
2019-03-28,1911,False,3,False,3,28
2019-03-29,2798,False,4,False,3,29
2019-03-30,423,False,5,True,3,30
2019-03-31,1850,False,6,True,3,31
2019-04-01,2167,False,0,False,4,1
2019-04-02,2640,False,1,False,4,2
2019-04-03,552,False,2,False,4,3
2019-04-04,1530,False,3,False,4,4
2019-04-05,543,False,4,False,4,5
2019-04-06,737,False,5,True,4,6
2019-04-07,2271,False,6,True,4,7
2019-04-08,855,False,0,False,4,8
2019-04-09,734,False,1,False,4,9
2019-04-10,2430,False,2,False,4,10
2019-04-11,1487,False,3,False,4,11
2019-04-12,1562,False,4,False,4,12
2019-04-13,2335,False,5,True,4,13
2019-04-14,5093,False,6,True,4,14
2019-04-15,544,False,0,False,4,15
2019-04-16,957,False,1,False,4,16
