date,Steps,is_holiday,day_of_week,is_weekend,month,day_in_month
2017-01-05,2078,False,3,False,1,5
2017-01-06,1019,True,4,False,1,6
2017-01-07,838,False,5,True,1,7
2017-01-08,1195,False,6,True,1,8
2017-01-09,1921,False,0,False,1,9
2017-01-10,5028,False,1,False,1,10
2017-01-11,1471,False,2,False,1,11
2017-01-12,2073,False,3,False,1,12
2017-01-13,4049,False,4,False,1,13
2017-01-14,1777,False,5,True,1,14
2017-01-15,4849,False,6,True,1,15
2017-01-16,4505,False,0,False,1,16
2017-01-17,3611,False,1,False,1,17
2017-01-18,2515,False,2,False,1,18
2017-01-19,2070,False,3,False,1,19
2017-01-20,4517,False,4,False,1,20
2017-01-21,4449,False,5,True,1,21
2017-01-22,4823,False,6,True,1,22
2017-01-23,1944,False,0,False,1,23
2017-01-24,2391,False,1,False,1,24
2017-01-25,2366,False,2,False,1,25
2017-01-26,3470,False,3,False,1,26
2017-01-27,3402,False,4,False,1,27
2017-01-28,1294,False,5,True,1,28
2017-01-29,547,False,6,True,1,29
2017-01-30,3066,False,0,False,1,30
2017-01-31,2834,False,1,False,1,31
2017-02-01,2111,False,2,False,2,1
2017-02-02,5072,False,3,False,2,2
2017-02-03,4475,False,4,False,2,3
2017-02-04,2594,False,5,True,2,4
2017-02-05,1023,False,6,True,2,5
2017-02-06,3010,False,0,False,2,6
2017-02-07,2013,False,1,False,2,7
2017-02-08,4837,False,2,False,2,8
2017-02-09,2067,False,3,False,2,9
2017-02-10,5511,False,4,False,2,10
2017-02-11,240,False,5,True,2,11
2017-02-12,1903,False,6,True,2,12
2017-02-13,1105,False,0,False,2,13
2017-02-14,2215,False,1,False,2,14
2017-02-15,2606,False,2,False,2,15
2017-02-16,5000,False,3,False,2,16
2017-02-17,3040,False,4,False,2,17
2017-02-18,5274,False,5,True,2,18
2017-02-19,231,False,6,True,2,19
2017-02-20,3270,False,0,False,2,20
2017-02-21,1829,False,1,False,2,21
2017-02-22,2343,False,2,False,2,22
2017-02-23,2798,False,3,False,2,23
2017-02-24,4215,False,4,False,2,24
2017-02-25,1259,False,5,True,2,25
2017-02-26,483,False,6,True,2,26
2017-02-27,928,True,0,False,2,27
2017-02-28,3066,False,1,False,2,28
2017-03-01,3248,False,2,False,3,1
2017-03-02,3581,False,3,False,3,2
2017-03-03,4426,False,4,False,3,3
2017-03-04,1352,False,5,True,3,4
2017-03-05,6230,False,6,True,3,5
2017-03-06,3004,False,0,False,3,6
2017-03-07,2488,False,1,False,3,7
2017-03-08,1929,False,2,False,3,8
2017-03-09,3060,False,3,False,3,9
2017-03-10,3649,False,4,False,3,10
2017-03-11,4522,False,5,True,3,11
2017-03-12,1245,False,6,True,3,12
2017-03-13,3763,False,0,False,3,13
2017-03-14,1818,False,1,False,3,14
2017-03-15,1708,False,2,False,3,15
2017-03-16,2874,False,3,False,3,16
2017-03-17,3091,False,4,False,3,17
2017-03-18,2390,False,5,True,3,18
2017-03-19,237,False,6,True,3,19
2017-03-20,1751,False,0,False,3,20
2017-03-21,3778,False,1,False,3,21
2017-03-22,2283,False,2,False,3,22
2017-03-23,1040,False,3,False,3,23
2017-03-24,3018,False,4,False,3,24
2017-03-25,652,True,5,True,3,25
2017-03-26,4069,False,6,True,3,26
2017-03-27,3255,False,0,False,3,27
2017-03-28,1806,False,1,False,3,28
2017-03-29,3527,False,2,False,3,29
2017-03-30,2366,False,3,False,3,30
2017-03-31,3258,False,4,False,3,31
2017-04-01,1636,False,5,True,4,1
2017-04-02,3724,False,6,True,4,2
2017-04-03,1447,False,0,False,4,3
2017-04-04,3855,False,1,False,4,4
2017-04-05,1469,False,2,False,4,5
2017-04-06,4867,False,3,False,4,6
2017-04-07,1799,False,4,False,4,7
2017-04-08,3869,False,5,True,4,8
2017-04-09,855,False,6,True,4,9
2017-04-10,3081,False,0,False,4,10
2017-04-11,4688,False,1,False,4,11
2017-04-12,3845,False,2,False,4,12
2017-04-13,3632,False,3,False,4,13
2017-04-14,10358,False,4,False,4,14
2017-04-15,7096,False,5,True,4,15
2017-04-16,2280,False,6,True,4,16
2017-04-17,1584,True,0,False,4,17
2017-04-18,2886,False,1,False,4,18
2017-04-19,1460,False,2,False,4,19
2017-04-20,1581,False,3,False,4,20
2017-04-21,3009,False,4,False,4,21
2017-04-22,512,False,5,True,4,22
2017-04-23,735,False,6,True,4,23
2017-04-24,2960,False,0,False,4,24
2017-04-25,2592,False,1,False,4,25
2017-04-26,4366,False,2,False,4,26
2017-04-27,2411,False,3,False,4,27
2017-04-28,3640,False,4,False,4,28
2017-04-29,2098,False,5,True,4,29
2017-04-30,2647,False,6,True,4,30
2017-05-01,1498,True,0,False,5,1
2017-05-02,3356,False,1,False,5,2
2017-05-03,1308,False,2,False,5,3
2017-05-04,3811,False,3,False,5,4
2017-05-05,2435,False,4,False,5,5
2017-05-06,2439,False,5,True,5,6
2017-05-07,1244,False,6,True,5,7
2017-05-08,777,False,0,False,5,8
2017-05-09,2776,False,1,False,5,9
2017-05-10,1744,False,2,False,5,10
2017-05-11,1717,False,3,False,5,11
2017-05-12,3128,False,4,False,5,12
2017-05-13,6602,False,5,True,5,13
2017-05-14,498,False,6,True,5,14
2017-05-15,5839,False,0,False,5,15
2017-05-16,2908,False,1,False,5,16
2017-05-17,1713,False,2,False,5,17
2017-05-18,2631,False,3,False,5,18
2017-05-19,3221,False,4,False,5,19
2017-05-20,1607,False,5,True,5,20
2017-05-21,3579,False,6,True,5,21
2017-05-22,4198,False,0,False,5,22
2017-05-23,2777,False,1,False,5,23
2017-05-24,903,False,2,False,5,24
2017-05-25,1634,False,3,False,5,25
2017-05-26,4436,False,4,False,5,26
2017-05-27,665,False,5,True,5,27
2017-05-28,766,False,6,True,5,28
2017-05-29,2682,False,0,False,5,29
2017-05-30,2898,False,1,False,5,30
2017-05-31,2686,False,2,False,5,31
2017-06-01,1696,False,3,False,6,1
2017-06-02,2649,False,4,False,6,2
2017-06-03,691,False,5,True,6,3
2017-06-04,1595,False,6,True,6,4
2017-06-05,2510,True,0,False,6,5
2017-06-06,2880,False,1,False,6,6
2017-06-07,1543,False,2,False,6,7
2017-06-08,5333,False,3,False,6,8
2017-06-09,3505,False,4,False,6,9
2017-06-10,74,False,5,True,6,10
2017-06-11,76,False,6,True,6,11
2017-06-12,2604,False,0,False,6,12
2017-06-13,3469,False,1,False,6,13
2017-06-14,1370,False,2,False,6,14
2017-06-15,1999,False,3,False,6,15
