date,Steps,is_holiday,day_of_week,is_weekend,month,day_in_month
2017-10-21,604,False,5,True,10,21
2017-10-22,561,False,6,True,10,22
2017-10-23,1717,False,0,False,10,23
2017-10-24,2662,False,1,False,10,24
2017-10-25,3204,False,2,False,10,25
2017-10-26,4350,False,3,False,10,26
2017-10-27,6106,False,4,False,10,27
2017-10-28,1105,True,5,True,10,28
2017-10-29,3169,False,6,True,10,29
2017-10-30,6995,False,0,False,10,30
2017-10-31,4697,False,1,False,10,31
2017-11-01,10783,False,2,False,11,1
2017-11-02,5093,False,3,False,11,2
2017-11-03,7678,False,4,False,11,3
2017-11-04,5666,False,5,True,11,4
2017-11-05,7840,False,6,True,11,5
2017-11-06,6574,False,0,False,11,6
2017-11-07,3134,False,1,False,11,7
2017-11-08,2474,False,2,False,11,8
2017-11-09,3285,False,3,False,11,9
2017-11-10,3863,False,4,False,11,10
2017-11-11,4746,False,5,True,11,11
2017-11-12,2307,False,6,True,11,12
2017-11-13,4185,False,0,False,11,13
2017-11-14,3208,False,1,False,11,14
2017-11-15,5262,False,2,False,11,15
2017-11-16,6166,False,3,False,11,16
2017-11-17,3942,False,4,False,11,17
2017-11-18,6408,False,5,True,11,18
2017-11-19,4063,False,6,True,11,19
2017-11-20,6202,False,0,False,11,20
2017-11-21,7738,False,1,False,11,21
2017-11-22,6074,False,2,False,11,22
2017-11-23,4169,False,3,False,11,23
2017-11-24,14915,False,4,False,11,24
2017-11-25,1570,False,5,True,11,25
2017-11-26,5473,False,6,True,11,26
2017-11-27,1776,False,0,False,11,27
2017-11-28,3174,False,1,False,11,28
2017-11-29,8609,False,2,False,11,29
2017-11-30,9372,False,3,False,11,30
2017-12-01,3904,False,4,False,12,1
2017-12-02,1411,False,5,True,12,2
2017-12-03,3441,False,6,True,12,3
2017-12-04,2339,False,0,False,12,4
2017-12-05,7763,False,1,False,12,5
2017-12-06,8736,False,2,False,12,6
2017-12-07,9877,False,3,False,12,7
2017-12-08,10430,False,4,False,12,8
