date,Steps,is_holiday,day_of_week,is_weekend,month,day_in_month
2015-04-24,26,False,4,False,4,24
2015-07-10,91,False,4,False,7,10
2015-07-17,30,False,4,False,7,17
2015-07-18,7652,False,5,True,7,18
2015-07-19,3029,False,6,True,7,19
2015-07-20,9252,False,0,False,7,20
2015-07-21,9026,False,1,False,7,21
2015-07-22,11438,False,2,False,7,22
2015-07-23,14877,False,3,False,7,23
2015-07-24,6832,False,4,False,7,24
2015-07-25,11513,False,5,True,7,25
2015-07-26,4320,False,6,True,7,26
2015-07-27,2758,False,0,False,7,27
2015-07-28,10300,False,1,False,7,28
2015-07-29,9636,False,2,False,7,29
2015-07-30,12741,False,3,False,7,30
2015-07-31,10011,False,4,False,7,31
2015-08-01,1258,False,5,True,8,1
2015-08-02,1459,False,6,True,8,2
2015-08-03,439,False,0,False,8,3
2015-08-04,7891,False,1,False,8,4
2015-08-05,10227,False,2,False,8,5
2015-08-06,10750,False,3,False,8,6
2015-08-07,10577,False,4,False,8,7
2015-08-08,15328,False,5,True,8,8
2015-08-09,13219,False,6,True,8,9
2015-08-10,16735,False,0,False,8,10
2015-08-11,6239,False,1,False,8,11
2015-08-12,5156,False,2,False,8,12
2015-08-13,6415,False,3,False,8,13
2015-08-14,90,False,4,False,8,14
2015-08-15,2295,True,5,True,8,15
2015-08-16,3482,False,6,True,8,16
2015-08-17,4013,False,0,False,8,17
2015-08-18,1354,False,1,False,8,18
2015-08-19,3742,False,2,False,8,19
2015-08-20,7329,False,3,False,8,20
2015-08-21,432,False,4,False,8,21
2015-08-22,129,False,5,True,8,22
2015-08-23,2779,False,6,True,8,23
2015-08-24,4854,False,0,False,8,24
2015-08-25,1755,False,1,False,8,25
2015-08-26,2064,False,2,False,8,26
2015-08-27,3163,False,3,False,8,27
2015-08-28,2215,False,4,False,8,28
2015-08-29,4771,False,5,True,8,29
2015-08-30,2164,False,6,True,8,30
2015-08-31,10948,False,0,False,8,31
2015-09-01,11846,False,1,False,9,1
2015-09-02,4998,False,2,False,9,2
