date,Steps,is_holiday,day_of_week,is_weekend,month,day_in_month
2020-02-01,5125,False,5,True,2,1
2020-02-02,878,False,6,True,2,2
2020-02-03,14355,False,0,False,2,3
2020-02-04,10508,False,1,False,2,4
2020-02-05,13484,False,2,False,2,5
2020-02-06,12854,False,3,False,2,6
2020-02-07,14447,False,4,False,2,7
2020-02-08,26831,False,5,True,2,8
2020-02-09,24968,False,6,True,2,9
2020-02-10,22052,False,0,False,2,10
2020-02-11,6646,False,1,False,2,11
2020-02-12,508,False,2,False,2,12
2020-02-13,12088,False,3,False,2,13
2020-02-14,9837,False,4,False,2,14
2020-02-15,7427,False,5,True,2,15
2020-02-16,8949,False,6,True,2,16
2020-02-17,10258,False,0,False,2,17
2020-02-18,7315,False,1,False,2,18
2020-02-19,10320,False,2,False,2,19
2020-02-20,11043,False,3,False,2,20
2020-02-21,2093,False,4,False,2,21
2020-02-22,5445,False,5,True,2,22
2020-02-23,7535,False,6,True,2,23
2020-02-24,9119,False,0,False,2,24
2020-02-25,10005,False,1,False,2,25
2020-02-26,10006,False,2,False,2,26
2020-02-27,10302,False,3,False,2,27
2020-02-28,11550,False,4,False,2,28
2020-02-29,2750,False,5,True,2,29
2020-03-01,3143,False,6,True,3,1
2020-03-02,2767,True,0,False,3,2
2020-03-03,13154,False,1,False,3,3
2020-03-04,9811,False,2,False,3,4
2020-03-05,12121,False,3,False,3,5
2020-03-06,9154,False,4,False,3,6
2020-03-07,828,False,5,True,3,7
2020-03-08,907,False,6,True,3,8
2020-03-09,11858,False,0,False,3,9
2020-03-10,10521,False,1,False,3,10
2020-03-11,10742,False,2,False,3,11
2020-03-12,12832,False,3,False,3,12
2020-03-13,2253,False,4,False,3,13
2020-03-14,2665,False,5,True,3,14
2020-03-15,1454,False,6,True,3,15
2020-03-16,1192,False,0,False,3,16
2020-03-17,928,False,1,False,3,17
2020-03-18,2015,False,2,False,3,18
2020-03-19,1904,False,3,False,3,19
2020-03-20,3466,False,4,False,3,20
2020-03-21,2574,False,5,True,3,21
2020-03-22,2045,False,6,True,3,22
2020-03-23,2970,False,0,False,3,23
2020-03-24,2739,False,1,False,3,24
2020-03-25,1370,True,2,False,3,25
2020-03-26,1075,False,3,False,3,26
2020-03-27,3618,False,4,False,3,27
2020-03-28,854,False,5,True,3,28
2020-03-29,1071,False,6,True,3,29
2020-03-30,2475,False,0,False,3,30
2020-03-31,1151,False,1,False,3,31
2020-04-01,728,False,2,False,4,1
2020-04-02,1511,False,3,False,4,2
2020-04-03,1017,False,4,False,4,3
2020-04-04,1443,False,5,True,4,4
2020-04-05,1067,False,6,True,4,5
2020-04-06,1632,False,0,False,4,6
2020-04-07,1098,False,1,False,4,7
2020-04-08,3884,False,2,False,4,8
2020-04-09,3580,False,3,False,4,9
2020-04-10,2743,False,4,False,4,10
2020-04-11,2560,False,5,True,4,11
2020-04-12,1210,False,6,True,4,12
2020-04-13,2370,False,0,False,4,13
2020-04-14,3478,False,1,False,4,14
2020-04-15,10761,False,2,False,4,15
2020-04-16,1784,False,3,False,4,16
2020-04-17,1310,False,4,False,4,17
2020-04-18,1233,False,5,True,4,18
2020-04-19,1311,False,6,True,4,19
2020-04-20,9645,True,0,False,4,20
2020-04-21,1820,False,1,False,4,21
2020-04-22,3542,False,2,False,4,22
2020-04-23,1243,False,3,False,4,23
2020-04-24,6843,False,4,False,4,24
2020-04-25,700,False,5,True,4,25
2020-04-26,1178,False,6,True,4,26
2020-04-27,1523,False,0,False,4,27
2020-04-28,7984,False,1,False,4,28
2020-04-29,643,False,2,False,4,29
2020-04-30,2705,False,3,False,4,30
2020-05-01,1281,True,4,False,5,1
2020-05-02,1249,False,5,True,5,2
