date,Steps
2018-08-06,9
2018-08-07,1105
2018-08-08,7012
2018-08-09,2994
2018-08-10,3866
2018-08-11,2655
2018-08-12,4399
2018-08-13,4365
2018-08-14,2864
2018-08-15,6384
2018-08-16,3099
2018-08-17,6830
2018-08-18,1797
2018-08-19,4051
2018-08-20,3852
2018-08-21,2650
2018-08-22,3254
2018-08-23,2925
2018-08-24,3139
2018-08-25,210
2018-08-26,286
2018-08-27,2897
2018-08-28,2181
2018-08-29,4788
2018-08-30,6402
2018-08-31,3430
2018-09-01,2262
2018-09-02,2651
2018-09-03,1674
2018-09-04,1497
2018-09-05,2250
2018-09-06,6714
2018-09-07,5195
2018-09-08,3458
2018-09-09,1110
2018-09-10,3128
2018-09-11,3738
2018-09-12,2692
2018-09-13,1928
2018-09-14,10638
2018-09-15,418
2018-09-16,557
2018-09-17,2352
2018-09-18,2835
2018-09-19,2872
2018-09-20,4630
2018-09-21,3580
2018-09-22,11109
2018-09-23,3784
2018-09-24,5014
2018-09-25,1629
2018-09-26,6786
2018-09-27,3164
2018-09-28,3341
2018-09-29,956
2018-09-30,434
2018-10-01,1811
2018-10-02,1776
2018-10-03,3028
2018-10-04,3946
2018-10-05,2985
2018-10-06,1827
2018-10-07,5038
2018-10-08,2563
2018-10-09,1714
2018-10-10,3153
2018-10-11,3051
2018-10-12,2024
2018-10-13,5530
2018-10-14,3328
2018-10-15,1722
2018-10-16,3546
2018-10-17,2696
2018-10-18,2904
2018-10-19,2909
2018-10-20,1814
2018-10-21,3125
2018-10-22,1816
2018-10-23,2488
2018-10-24,3762
2018-10-25,4144
2018-10-26,5801
2018-10-27,5395
2018-10-28,2223
2018-10-29,4921
2018-10-30,4878
2018-10-31,2718
2018-11-01,2765
2018-11-02,4055
2018-11-03,517
2018-11-04,3905
2018-11-05,1821
2018-11-06,2039
2018-11-07,4059
2018-11-08,2762
2018-11-09,324
2018-11-10,466
2018-11-11,803
2018-11-12,2481
2018-11-13,1810
2018-11-14,2978
2018-11-15,2760
2018-11-16,2021
2018-11-17,1135
2018-11-18,780
2018-11-19,1792
2018-11-20,1592
2018-11-21,2323
2018-11-22,1774
2018-11-23,1601
2018-11-24,5302
2018-11-25,1697
2018-11-26,1990
2018-11-27,2005
2018-11-28,2637
2018-11-29,3192
2018-11-30,3257
2018-12-01,1125
2018-12-02,3651
2018-12-03,2585
2018-12-04,2658
2018-12-05,3195
2018-12-06,3628
2018-12-07,2046
2018-12-08,4170
2018-12-09,1876
2018-12-10,1845
2018-12-11,1857
2018-12-12,3203
2018-12-13,2057
2018-12-14,2307
2018-12-15,1767
2018-12-16,599
2018-12-17,1959
2018-12-18,2926
2018-12-19,6087
2018-12-20,4481
2018-12-21,2067
2018-12-22,426
2018-12-23,239
2018-12-24,3156
2018-12-25,1620
2018-12-26,1842
2018-12-27,5270
2018-12-28,278
2018-12-29,3241
2018-12-30,1421
2018-12-31,6247
2019-01-01,1821
2019-01-02,846
2019-01-03,2319
2019-01-04,3500
2019-01-05,6559
2019-01-06,6660
2019-01-07,4062
2019-01-08,2552
2019-01-09,3098
2019-01-10,2592
2019-01-11,2531
2019-01-12,169
2019-01-13,181
2019-01-14,2301
2019-01-15,1795
2019-01-16,2121
2019-01-17,2161
2019-01-18,4457
2019-01-19,1028
2019-01-20,49
2019-01-21,390
2019-01-22,603
2019-01-23,1488
2019-01-24,3625
2019-01-25,3181
2019-01-26,15031
2019-01-27,12238
2019-01-28,24544
2019-01-29,12680
2019-01-30,6691
2019-01-31,2890
2019-02-01,1932
2019-02-02,1340
2019-02-03,1038
2019-02-04,2672
2019-02-05,3112
2019-02-06,2543
2019-02-07,882
2019-02-08,171
2019-02-09,252
2019-02-10,808
2019-02-11,3018
2019-02-12,2105
2019-02-13,2394
2019-02-14,3480
2019-02-15,5094
2019-02-16,169
2019-02-17,663
2019-02-18,1978
2019-02-19,1601
2019-02-20,5314
2019-02-21,2835
2019-02-22,2148
2019-02-23,5251
2019-02-24,5301
2019-02-25,2594
2019-02-26,3190
2019-02-27,4520
2019-02-28,4396
2019-03-01,1953
2019-03-02,1339
2019-03-03,1029
2019-03-04,1924
2019-03-05,1787
2019-03-06,2429
2019-03-07,1972
2019-03-08,3181
2019-03-09,367
2019-03-10,495
2019-03-11,1901
2019-03-12,3180
2019-03-13,1935
2019-03-14,1347
2019-03-15,3476
2019-03-16,2472
2019-03-17,3333
2019-03-18,1806
2019-03-19,2559
2019-03-20,1847
2019-03-21,2921
2019-03-22,3914
2019-03-23,901
2019-03-24,4900
2019-03-25,913
2019-03-26,1783
2019-03-27,3621
2019-03-28,2357
2019-03-29,2272
2019-03-30,220
2019-03-31,855
2019-04-01,3001
2019-04-02,2462
2019-04-03,6166
2019-04-04,2071
2019-04-05,2269
2019-04-06,3072
2019-04-07,4983
2019-04-08,2051
2019-04-09,3610
2019-04-10,4749
2019-04-11,4735
2019-04-12,2627
2019-04-13,1422
2019-04-14,1660
2019-04-15,3255
2019-04-16,3275
2019-04-17,5632
2019-04-18,2529
2019-04-19,4127
2019-04-20,5064
2019-04-21,4393
2019-04-22,13989
2019-04-23,11700
2019-04-24,7468
2019-04-25,4698
2019-04-26,6020
2019-04-27,1310
2019-04-28,2894
2019-04-29,2434
2019-04-30,4571
2019-05-01,1907
2019-05-02,4865
2019-05-03,3779
2019-05-04,6450
2019-05-05,1368
2019-05-06,2827
2019-05-07,3264
2019-05-08,6134
2019-05-09,2749
2019-05-10,5792
2019-05-11,4696
2019-05-12,2337
2019-05-13,5593
2019-05-14,2655
2019-05-15,2265
2019-05-16,3915
2019-05-17,3478
2019-05-18,1347
2019-05-19,936
2019-05-20,4077
2019-05-21,3664
2019-05-22,3255
2019-05-23,2346
2019-05-24,3835
2019-05-25,722
2019-05-26,922
2019-05-27,5028
2019-05-28,3344
2019-05-29,7663
2019-05-30,5019
2019-05-31,2859
2019-06-01,3743
2019-06-02,3544
2019-06-03,8482
2019-06-04,9202
2019-06-05,6023
2019-06-06,9668
2019-06-07,3051
2019-06-08,283
2019-06-09,241
2019-06-10,2375
2019-06-11,9507
2019-06-12,3795
2019-06-13,4608
2019-06-14,4389
2019-06-15,2941
2019-06-16,352
2019-06-17,1621
2019-06-18,2223
2019-06-19,4095
2019-06-20,5280
2019-06-21,2496
2019-06-22,1863
2019-06-23,3841
2019-06-24,2244
2019-06-25,2609
2019-06-26,4823
2019-06-27,3827
2019-06-28,2719
2019-06-29,3236
2019-06-30,2185
2019-07-01,4224
2019-07-02,4844
2019-07-03,4225
2019-07-04,4594
2019-07-05,8126
2019-07-06,2709
2019-07-07,3698
2019-07-08,3756
2019-07-09,4635
2019-07-10,5113
2019-07-11,1983
2019-07-12,2875
2019-07-13,1608
2019-07-14,6544
2019-07-15,4441
2019-07-16,2527
2019-07-17,2983
2019-07-18,6983
2019-07-19,3532
2019-07-20,241
2019-07-21,902
2019-07-22,2636
2019-07-23,4916
2019-07-24,8661
2019-07-25,7340
2019-07-26,3092
2019-07-27,2493
2019-07-28,2485
2019-07-29,4299
2019-07-30,3319
2019-07-31,5337
2019-08-01,2358
2019-08-02,4828
2019-08-03,5851
2019-08-04,2265
2019-08-05,2261
2019-08-06,1814
2019-08-07,3671
2019-08-08,2117
2019-08-09,2655
2019-08-10,6116
2019-08-11,2347
2019-08-12,2666
2019-08-13,1212
2019-08-14,3609
2019-08-15,5904
2019-08-16,1996
2019-08-17,5699
2019-08-18,4533
2019-08-19,2782
2019-08-20,2441
2019-08-21,2119
2019-08-22,2256
2019-08-23,3179
2019-08-24,4950
2019-08-25,1209
2019-08-26,3578
2019-08-27,3168
2019-08-28,2948
2019-08-29,6344
2019-08-30,5996
2019-08-31,558
2019-09-01,318
2019-09-02,4448
2019-09-03,3400
2019-09-04,3603
2019-09-05,5015
2019-09-06,2610
2019-09-07,2445
2019-09-08,1127
2019-09-09,2145
2019-09-10,2688
2019-09-11,1784
2019-09-12,3670
2019-09-13,2135
2019-09-14,1383
2019-09-15,1480
2019-09-16,3229
2019-09-17,4026
2019-09-18,5077
2019-09-19,2674
2019-09-20,8529
2019-09-21,481
2019-09-22,6511
2019-09-23,2621
2019-09-24,6772
2019-09-25,4239
2019-09-26,3062
2019-09-27,2582
2019-09-28,3804
2019-09-29,3202
2019-09-30,3705
2019-10-01,862
2019-10-02,1757
2019-10-03,2862
2019-10-04,3361
2019-10-05,2995
2019-10-06,1304
2019-10-07,3515
2019-10-08,2610
2019-10-09,2506
2019-10-10,5070
2019-10-11,2120
2019-10-12,954
2019-10-13,345
2019-10-14,1681
2019-10-15,2846
2019-10-16,4201
2019-10-17,5085
2019-10-18,4064
2019-10-19,1073
2019-10-20,6951
2019-10-21,2260
2019-10-22,4586
2019-10-23,1758
2019-10-24,3020
2019-10-25,5757
2019-10-26,1925
2019-10-27,3996
2019-10-28,2869
2019-10-29,3184
2019-10-30,2993
2019-10-31,1896
2019-11-01,5851
2019-11-02,5770
2019-11-03,6386
2019-11-04,2507
2019-11-05,1759
2019-11-06,2168
2019-11-07,1700
2019-11-08,4927
2019-11-09,3395
2019-11-10,4555
2019-11-11,2374
2019-11-12,5535
2019-11-13,2308
2019-11-14,2498
2019-11-15,3770
2019-11-16,5640
2019-11-17,7042
2019-11-18,3356
2019-11-19,3658
2019-11-20,2461
2019-11-21,4242
2019-11-22,1630
2019-11-23,423
2019-11-24,254
2019-11-25,2139
2019-11-26,1964
2019-11-27,1967
2019-11-28,1923
2019-11-29,2007
2019-11-30,5441
2019-12-01,1504
2019-12-02,5974
2019-12-03,4006
2019-12-04,4950
2019-12-05,4905
2019-12-06,11034
2019-12-07,24557
2019-12-08,15620
2019-12-09,6089
2019-12-10,1273
2019-12-11,1020
2019-12-12,1831
2019-12-13,4828
2019-12-14,190
2019-12-15,497
2019-12-16,2914
2019-12-17,1715
2019-12-18,2095
2019-12-19,8852
2019-12-20,4206
2019-12-21,781
2019-12-22,4385
2019-12-23,1187
2019-12-24,2319
2019-12-25,1772
2019-12-26,1004
