date,Steps
2018-11-23,7274
2018-11-24,1548
2018-11-25,245
2018-11-26,4519
2018-11-27,2612
2018-11-28,470
2018-11-29,2534
2018-11-30,2060
2018-12-01,1463
2018-12-02,122
2018-12-03,3501
2018-12-04,717
2018-12-05,5171
2018-12-06,2155
2018-12-07,2952
2018-12-08,2183
2018-12-09,1453
2018-12-10,159
2018-12-11,59
2018-12-12,3377
2018-12-13,66
2018-12-14,3109
2018-12-15,5920
2018-12-16,1807
2018-12-17,1010
2018-12-18,64
2018-12-19,937
2018-12-20,6873
2018-12-21,2566
2018-12-22,1271
2018-12-23,1703
2018-12-24,1858
2018-12-25,468
2018-12-26,3935
2018-12-27,1051
2018-12-28,1637
2018-12-29,9610
2018-12-30,3446
2018-12-31,1720
2019-01-01,287
2019-01-02,2732
2019-01-03,630
2019-01-04,5990
2019-01-05,5058
2019-01-06,1134
2019-01-07,746
2019-01-08,1448
2019-01-09,915
2019-01-10,615
2019-01-11,1738
2019-01-12,2489
2019-01-13,1447
2019-01-14,1363
2019-01-15,921
2019-01-16,1458
2019-01-17,2198
2019-01-18,2413
2019-01-19,5695
2019-01-20,2658
2019-01-21,1490
2019-01-22,6945
2019-01-23,3526
2019-01-24,844
2019-01-25,3164
2019-01-26,2362
2019-01-27,1053
2019-01-28,1278
2019-01-29,3085
2019-01-30,998
2019-01-31,202
2019-02-01,596
2019-02-02,597
2019-02-03,1294
2019-02-04,3629
2019-02-05,1604
2019-02-06,103
2019-02-07,214
2019-02-08,105
2019-02-09,191
2019-02-10,226
2019-02-11,99
2019-02-12,188
2019-02-13,100
2019-02-14,105
2019-02-15,190
2019-02-16,362
2019-02-17,18
2019-02-18,214
2019-02-19,121
2019-02-20,266
2019-02-21,161
2019-02-22,126
2019-02-23,391
2019-02-24,128
2019-02-25,181
2019-02-26,63
2019-02-27,1426
2019-02-28,1591
2019-03-01,82
2019-03-02,130
2019-03-03,89
2019-03-04,93
2019-03-05,90
2019-03-06,323
2019-03-07,58
2019-03-08,146
2019-03-09,39
2019-03-10,2115
2019-03-11,3152
2019-03-12,532
2019-03-13,465
2019-03-14,1825
2019-03-15,302
2019-03-16,3277
2019-03-17,603
2019-03-18,227
2019-03-19,475
2019-03-20,406
2019-03-21,432
2019-03-22,226
2019-03-23,3448
2019-03-24,251
2019-03-25,3206
2019-03-26,107
2019-03-27,186
2019-03-28,1863
2019-03-29,64
2019-03-30,335
2019-03-31,466
2019-04-01,2364
2019-04-02,456
2019-04-03,793
2019-04-04,1415
2019-04-05,461
2019-04-06,296
2019-04-07,339
2019-04-08,320
2019-04-09,1865
2019-04-10,523
2019-04-11,1149
2019-04-12,184
2019-04-13,341
2019-04-14,350
2019-04-15,292
2019-04-16,2650
2019-04-17,267
2019-04-18,3363
2019-04-19,356
2019-04-20,1246
2019-04-21,2057
2019-04-22,128
2019-04-23,348
2019-04-24,1342
2019-04-25,4304
2019-04-26,5690
2019-04-27,808
2019-04-28,1814
2019-04-29,1928
2019-04-30,385
2019-05-01,626
2019-05-02,54
2019-05-03,5290
2019-05-04,319
2019-05-05,630
2019-05-06,3114
2019-05-07,2295
2019-05-08,1220
2019-05-09,6212
2019-05-10,2526
2019-05-11,1716
2019-05-12,871
2019-05-13,609
2019-05-14,2097
2019-05-15,1968
2019-05-16,2875
2019-05-17,3858
2019-05-18,885
2019-05-19,1231
2019-05-20,3153
2019-05-21,4546
2019-05-22,859
2019-05-23,2712
2019-05-24,1572
2019-05-25,2131
2019-05-26,1874
2019-05-27,138
2019-05-28,1155
2019-05-29,552
2019-05-30,1493
2019-05-31,3291
2019-06-01,871
2019-06-02,1026
2019-06-03,3013
2019-06-04,408
2019-06-05,434
2019-06-06,3342
2019-06-07,1742
2019-06-08,3332
2019-06-09,2892
2019-06-10,973
2019-06-11,1079
2019-06-12,4071
2019-06-13,3613
2019-06-14,323
2019-06-15,2590
2019-06-16,390
2019-06-17,2049
2019-06-18,6360
2019-06-19,487
2019-06-20,231
2019-06-21,7657
2019-06-22,1187
2019-06-23,1689
2019-06-24,6350
2019-06-25,605
2019-06-26,3343
2019-06-27,3858
2019-06-28,1052
2019-06-29,1627
2019-06-30,288
2019-07-01,5469
2019-07-02,1415
2019-07-03,5634
2019-07-04,989
2019-07-05,4081
2019-07-06,1977
2019-07-07,2302
2019-07-08,1461
2019-07-09,1714
2019-07-10,5315
2019-07-11,1668
2019-07-12,1834
2019-07-13,2012
2019-07-14,1893
2019-07-15,1675
2019-07-16,2734
2019-07-17,2068
2019-07-18,1558
2019-07-19,5780
2019-07-20,1484
2019-07-21,3112
2019-07-22,1400
2019-07-23,4657
2019-07-24,963
2019-07-25,1818
2019-07-26,1585
2019-07-27,1008
2019-07-28,3385
2019-07-29,625
2019-07-30,2581
2019-07-31,2354
2019-08-01,5707
2019-08-02,4385
2019-08-03,776
2019-08-04,692
2019-08-05,5628
2019-08-06,1258
2019-08-07,1144
2019-08-08,2802
2019-08-09,3237
2019-08-10,3007
2019-08-11,2819
2019-08-12,985
2019-08-13,1930
2019-08-14,5170
2019-08-15,2836
2019-08-16,1862
2019-08-17,465
2019-08-18,1851
2019-08-19,3201
2019-08-20,1090
2019-08-21,2460
2019-08-22,2783
2019-08-23,4084
2019-08-24,3223
2019-08-25,400
2019-08-26,315
2019-08-27,4715
2019-08-28,3319
2019-08-29,2144
2019-08-30,1696
2019-08-31,4919
2019-09-01,369
2019-09-02,2486
2019-09-03,1255
2019-09-04,4295
2019-09-05,2912
2019-09-06,4682
2019-09-07,4002
2019-09-08,4435
2019-09-09,2082
2019-09-10,1628
2019-09-11,3660
2019-09-12,3065
2019-09-13,268
2019-09-14,2685
2019-09-15,2290
2019-09-16,2409
2019-09-17,3476
2019-09-18,3341
2019-09-19,1954
2019-09-20,6486
2019-09-21,939
2019-09-22,1255
2019-09-23,1366
2019-09-24,2813
2019-09-25,2065
2019-09-26,3205
2019-09-27,7387
2019-09-28,1917
2019-09-29,5986
2019-09-30,2059
2019-10-01,3243
2019-10-02,4667
2019-10-03,6501
2019-10-04,7921
2019-10-05,3908
2019-10-06,601
2019-10-07,8095
2019-10-08,1711
2019-10-09,6886
2019-10-10,3114
2019-10-11,5505
2019-10-12,506
2019-10-13,2656
2019-10-14,2744
2019-10-15,1729
2019-10-16,3744
2019-10-17,1527
2019-10-18,994
2019-10-19,2476
2019-10-20,1952
2019-10-21,2082
2019-10-22,2232
2019-10-23,2066
2019-10-24,537
2019-10-25,1965
2019-10-26,2048
2019-10-27,1072
2019-10-28,1877
2019-10-29,3819
2019-10-30,2029
2019-10-31,2880
2019-11-01,4979
2019-11-02,3842
2019-11-03,1226
2019-11-04,1583
2019-11-05,1653
2019-11-06,1473
2019-11-07,1569
2019-11-08,613
2019-11-09,4081
2019-11-10,3485
2019-11-11,426
2019-11-12,1982
2019-11-13,1287
2019-11-14,2202
2019-11-15,216
2019-11-16,6252
2019-11-17,219
2019-11-18,1209
2019-11-19,2582
2019-11-20,888
2019-11-21,3762
2019-11-22,652
2019-11-23,4259
2019-11-24,1300
2019-11-25,2166
2019-11-26,2296
2019-11-27,570
2019-11-28,1117
2019-11-29,1498
2019-11-30,2560
2019-12-01,136
2019-12-02,755
2019-12-03,548
2019-12-04,1865
2019-12-05,1542
2019-12-06,2239
2019-12-07,1477
2019-12-08,247
2019-12-09,2829
2019-12-10,2472
2019-12-11,3546
2019-12-12,1928
2019-12-13,5518
2019-12-14,1428
2019-12-15,4464
2019-12-16,4985
2019-12-17,1325
2019-12-18,495
2019-12-19,804
2019-12-20,8160
2019-12-21,3623
2019-12-22,744
2019-12-23,2061
2019-12-24,10612
2019-12-25,2600
2019-12-26,878
2019-12-27,667
2019-12-28,5766
2019-12-29,2948
2019-12-30,677
2019-12-31,3761
2020-01-01,708
2020-01-02,1547
2020-01-03,2404
2020-01-04,3167
2020-01-05,989
2020-01-06,406
2020-01-07,4703
2020-01-08,2255
2020-01-09,1424
2020-01-10,2833
2020-01-11,3038
2020-01-12,7884
2020-01-13,17860
2020-01-14,20501
2020-01-15,25507
2020-01-16,19903
2020-01-17,7605
2020-01-18,617
2020-01-19,200
2020-01-20,2411
2020-01-21,5509
2020-01-22,4547
2020-01-23,5542
2020-01-24,211
2020-01-25,3941
2020-01-26,2871
2020-01-27,1512
2020-01-28,3743
2020-01-29,961
2020-01-30,3096
2020-01-31,3984
2020-02-01,441
2020-02-02,322
2020-02-03,6726
2020-02-04,1892
2020-02-05,3694
2020-02-06,3391
2020-02-07,3895
2020-02-08,1351
2020-02-09,2957
2020-02-10,1543
2020-02-11,794
2020-02-12,1293
2020-02-13,1574
2020-02-14,2190
2020-02-15,2299
2020-02-16,1031
2020-02-17,3642
2020-02-18,1128
2020-02-19,1799
2020-02-20,1232
2020-02-21,1985
2020-02-22,56
2020-02-23,135
2020-02-24,1996
2020-02-25,1650
2020-02-26,5301
2020-02-27,4733
2020-02-28,1407
2020-02-29,911
2020-03-01,850
2020-03-02,1939
2020-03-03,3265
2020-03-04,3642
2020-03-05,5906
2020-03-06,1935
2020-03-07,4411
2020-03-08,276
2020-03-09,1358
2020-03-10,1120
2020-03-11,1784
2020-03-12,1479
2020-03-13,604
2020-03-14,454
2020-03-15,434
2020-03-16,941
2020-03-17,335
2020-03-18,1299
2020-03-19,201
2020-03-20,1559
2020-03-21,1164
2020-03-22,440
2020-03-23,610
2020-03-24,1385
2020-03-25,741
