date,Steps
2020-01-15,35
2020-01-16,5203
2020-01-17,14502
2020-01-18,5534
2020-01-19,1971
2020-01-20,8808
2020-01-21,3870
2020-01-22,8822
2020-01-23,4352
2020-01-24,12410
2020-01-25,6587
2020-01-26,5004
2020-01-27,10109
2020-01-28,7558
2020-01-29,10255
2020-01-30,6560
2020-01-31,8713
2020-02-01,11345
2020-02-02,5243
2020-02-03,10811
2020-02-04,7291
2020-02-05,8453
2020-02-06,5459
2020-02-07,3757
2020-02-08,4921
2020-02-09,5383
2020-02-10,11970
2020-02-11,18117
2020-02-12,8729
2020-02-13,7130
2020-02-14,8957
2020-02-15,5133
2020-02-16,6710
2020-02-17,12499
2020-02-18,6557
2020-02-19,9065
2020-02-20,8522
2020-02-21,8651
2020-02-22,5124
2020-02-23,7852
2020-02-24,8942
2020-02-25,6067
2020-02-26,8210
2020-02-27,4866
2020-02-28,9424
2020-02-29,3210
2020-03-01,3104
2020-03-02,7678
2020-03-03,4040
2020-03-04,8497
2020-03-05,5281
2020-03-06,7197
2020-03-07,5237
2020-03-08,4917
2020-03-09,10579
2020-03-10,5841
2020-03-11,3300
2020-03-12,7019
2020-03-13,7541
2020-03-14,4597
2020-03-15,3817
2020-03-16,5188
2020-03-17,3449
2020-03-18,3150
2020-03-19,3891
2020-03-20,2790
2020-03-21,2410
2020-03-22,3762
2020-03-23,2512
2020-03-24,2425
2020-03-25,2493
2020-03-26,3651
2020-03-27,4161
2020-03-28,3280
2020-03-29,7128
2020-03-30,2604
2020-03-31,8600
2020-04-01,2945
2020-04-02,3338
2020-04-03,2868
2020-04-04,3378
2020-04-05,4007
2020-04-06,2524
2020-04-07,3799
2020-04-08,3891
2020-04-09,2095
2020-04-10,9115
2020-04-11,2428
2020-04-12,7193
2020-04-13,1932
2020-04-14,2505
2020-04-15,2057
2020-04-16,8210
2020-04-17,2777
2020-04-18,2617
2020-04-19,8696
2020-04-20,2048
2020-04-21,2594
2020-04-22,3387
2020-04-23,2588
2020-04-24,3035
2020-04-25,4259
2020-04-26,10187
2020-04-27,2188
2020-04-28,3648
2020-04-29,1760
2020-04-30,2331
2020-05-01,12603
2020-05-02,2925
2020-05-03,2435
2020-05-04,1279
2020-05-05,1699
2020-05-06,2795
2020-05-07,8819
2020-05-08,5876
2020-05-09,1478
2020-05-10,7393
2020-05-11,2049
2020-05-12,2892
2020-05-13,2779
2020-05-14,721
2020-05-15,4542
2020-05-16,6761
2020-05-17,1982
2020-05-18,2442
2020-05-19,1492
2020-05-20,1730
2020-05-21,4140
2020-05-22,1803
2020-05-23,6107
2020-05-24,1806
2020-05-25,2027
2020-05-26,2238
2020-05-27,2288
2020-05-28,2099
2020-05-29,2145
2020-05-30,1677
2020-05-31,2256
2020-06-01,5907
2020-06-02,3208
2020-06-03,7025
2020-06-04,3226
2020-06-05,7514
2020-06-06,8494
2020-06-07,7995
2020-06-08,1723
2020-06-09,3859
2020-06-10,5562
2020-06-11,6309
2020-06-12,7097
2020-06-13,1759
2020-06-14,4651
2020-06-15,9625
2020-06-16,4935
2020-06-17,6167
2020-06-18,5085
2020-06-19,10972
2020-06-20,947
2020-06-21,2223
2020-06-22,3346
2020-06-23,4455
2020-06-24,5996
2020-06-25,4918
2020-06-26,6776
2020-06-27,2139
2020-06-28,4912
2020-06-29,5882
2020-06-30,1107
2020-07-01,2163
2020-07-02,2239
2020-07-03,7568
2020-07-04,981
2020-07-05,734
2020-07-06,1188
2020-07-07,4194
2020-07-08,5755
2020-07-09,5875
2020-07-10,7650
2020-07-11,4142
2020-07-12,2245
2020-07-13,4018
2020-07-14,3568
2020-07-15,6418
2020-07-16,2001
2020-07-17,2491
2020-07-18,2635
2020-07-19,2994
2020-07-20,4501
2020-07-21,966
2020-07-22,2710
2020-07-23,909
2020-07-24,735
2020-07-25,1203
2020-09-02,1116
2020-09-03,1334
2020-09-04,2457
2020-09-05,1029
2020-09-06,3404
2020-09-07,2529
2020-09-08,8468
2020-09-09,4193
2020-09-10,1268
2020-09-11,4525
2020-09-12,5712
2020-09-13,9527
2020-09-14,4366
2020-09-15,5019
2020-09-16,5312
2020-09-17,6831
2020-09-18,10293
2020-09-19,10596
2020-09-20,7284
2020-09-21,6752
2020-09-22,4042
2020-09-23,5540
2020-09-24,7009
2020-09-25,6913
2020-09-26,2707
2020-09-27,3140
2020-09-28,3060
2020-09-29,7486
2020-09-30,5449
2020-10-01,6286
2020-10-02,4899
2020-10-03,8947
2020-10-04,5705
2020-10-05,7142
2020-10-06,6174
2020-10-07,6624
2020-10-08,6757
2020-10-09,5098
2020-10-10,2398
2020-10-11,7790
2020-10-12,5949
2020-10-13,5192
2020-10-14,5101
2020-10-15,2562
2020-10-16,4660
2020-10-17,3973
2020-10-18,1894
2020-10-19,6621
2020-10-20,4857
2020-10-21,5493
2020-10-22,6960
2020-10-23,4950
2020-10-24,7767
2020-10-25,2717
2020-10-26,11629
2020-10-27,6392
2020-10-28,635
2020-01-15,35
2020-01-16,5203
2020-01-17,14502
2020-01-18,5534
2020-01-19,1971
2020-01-20,8808
2020-01-21,3870
2020-01-22,8822
2020-01-23,4352
2020-01-24,12410
2020-01-25,6587
2020-01-26,5004
2020-01-27,10109
2020-01-28,7558
2020-01-29,10255
2020-01-30,6560
2020-01-31,8713
2020-02-01,11345
2020-02-02,5243
2020-02-03,10811
2020-02-04,7291
2020-02-05,8453
2020-02-06,5459
2020-02-07,3757
2020-02-08,4921
2020-02-09,5383
2020-02-10,11970
2020-02-11,18117
2020-02-12,8729
2020-02-13,7130
2020-02-14,8957
2020-02-15,5133
2020-02-16,6710
2020-02-17,12499
2020-02-18,6557
2020-02-19,9065
2020-02-20,8522
2020-02-21,8651
2020-02-22,5124
2020-02-23,7852
2020-02-24,8942
2020-02-25,6067
2020-02-26,8210
2020-02-27,4866
2020-02-28,9424
2020-02-29,3210
2020-03-01,3104
2020-03-02,7678
2020-03-03,4040
2020-03-04,8497
2020-03-05,5281
2020-03-06,7197
2020-03-07,5237
2020-03-08,4917
2020-03-09,10579
2020-03-10,5841
2020-03-11,3300
2020-03-12,7019
2020-03-13,7541
2020-03-14,4597
2020-03-15,3817
2020-03-16,5188
2020-03-17,3449
2020-03-18,3150
2020-03-19,3891
2020-03-20,2790
2020-03-21,2410
2020-03-22,3762
2020-03-23,2512
2020-03-24,2425
2020-03-25,2493
2020-03-26,3651
2020-03-27,4161
2020-03-28,3280
2020-03-29,7128
2020-03-30,2604
2020-03-31,8600
2020-04-01,2945
2020-04-02,3338
2020-04-03,2868
2020-04-04,3378
2020-04-05,4007
2020-04-06,2524
2020-04-07,3799
2020-04-08,3891
2020-04-09,2095
2020-04-10,9115
2020-04-11,2428
2020-04-12,7193
2020-04-13,1932
2020-04-14,2505
2020-04-15,2057
2020-04-16,8210
2020-04-17,2777
2020-04-18,2617
2020-04-19,8696
2020-04-20,2048
2020-04-21,2594
2020-04-22,3387
2020-04-23,2588
2020-04-24,3035
2020-04-25,4259
2020-04-26,10187
2020-04-27,2188
2020-04-28,3648
2020-04-29,1760
2020-04-30,2331
2020-05-01,12603
2020-05-02,2925
2020-05-03,2435
2020-05-04,1279
2020-05-05,1699
2020-05-06,2795
2020-05-07,8819
2020-05-08,5876
2020-05-09,1478
2020-05-10,7393
2020-05-11,2049
2020-05-12,2892
2020-05-13,2779
2020-05-14,721
2020-05-15,4542
2020-05-16,6761
2020-05-17,1982
2020-05-18,2442
2020-05-19,1492
2020-05-20,1730
2020-05-21,4140
2020-05-22,1803
2020-05-23,6107
2020-05-24,1806
2020-05-25,2027
2020-05-26,2238
2020-05-27,2288
2020-05-28,2099
2020-05-29,2145
2020-05-30,1677
2020-05-31,2256
2020-06-01,5907
2020-06-02,3208
2020-06-03,7025
2020-06-04,3226
2020-06-05,7514
2020-06-06,8494
2020-06-07,7995
2020-06-08,1723
2020-06-09,3859
2020-06-10,5562
2020-06-11,6309
2020-06-12,7097
2020-06-13,1759
2020-06-14,4651
2020-06-15,9625
2020-06-16,4935
2020-06-17,6167
2020-06-18,5085
2020-06-19,10972
2020-06-20,947
2020-06-21,2223
2020-06-22,3346
2020-06-23,4455
2020-06-24,5996
2020-06-25,4918
2020-06-26,6776
2020-06-27,2139
2020-06-28,4912
2020-06-29,5882
2020-06-30,1107
2020-07-01,2163
2020-07-02,2239
2020-07-03,7568
2020-07-04,981
2020-07-05,734
2020-07-06,1188
2020-07-07,4194
2020-07-08,5755
2020-07-09,5875
2020-07-10,7650
2020-07-11,4142
