date,Steps
2015-10-22,460
2015-10-23,6103
2015-10-24,7898
2015-10-25,968
2015-10-26,4886
2015-10-27,8321
2015-10-28,5332
2015-10-29,8375
2015-10-30,5873
2015-10-31,2330
2015-11-01,4298
2015-11-02,4713
2015-11-03,6346
2015-11-04,10953
2015-11-05,7080
2015-11-06,7615
2015-11-07,9366
2015-11-08,3166
2015-11-09,9962
2015-11-10,7655
2015-11-11,9899
2015-11-12,9842
2015-11-13,5967
2015-11-14,9604
2015-11-15,3711
2015-11-16,7417
2015-11-17,7041
2015-11-18,12332
2015-11-19,7253
2015-11-20,11700
2015-11-21,10677
2015-11-22,6839
2015-11-23,8165
2015-11-24,10141
2015-11-25,8495
2015-11-26,3294
2015-11-27,4131
2015-11-28,5857
2015-11-29,903
2015-11-30,10457
2015-12-01,5969
2015-12-02,5119
2015-12-03,8484
2015-12-04,7554
2015-12-05,7672
2015-12-06,1861
2015-12-07,9428
2015-12-08,10428
2015-12-09,9464
2015-12-10,7950
2015-12-11,5074
2015-12-12,6928
2015-12-13,6235
2015-12-14,4380
2015-12-15,7483
2015-12-16,6350
2015-12-17,7696
2015-12-18,5384
2015-12-19,6511
2015-12-20,4520
2015-12-21,9414
2015-12-22,8099
2015-12-23,15319
2015-12-24,5844
2015-12-25,2243
2015-12-26,1532
2015-12-27,3481
2015-12-28,8608
2015-12-29,9295
2015-12-30,10420
2015-12-31,11284
2016-01-01,1458
2016-01-02,6887
2016-01-03,1153
2016-01-04,9951
2016-01-05,5270
2016-01-06,1417
2016-01-07,7179
2016-01-08,9247
2016-01-09,11520
2016-01-10,2519
2016-01-11,8005
2016-01-12,9897
2016-01-13,8401
2016-01-14,8025
2016-01-15,7330
2016-01-16,12726
2016-01-17,169
2016-01-18,5904
2016-01-19,4454
2016-01-20,9359
2016-01-21,8951
2016-01-22,5301
2016-01-23,6388
2016-01-24,85
2016-01-25,5827
2016-01-26,6256
2016-01-27,5442
2016-01-28,9262
2016-01-29,7172
2016-01-30,7242
2016-01-31,2140
2016-02-01,7206
2016-02-02,9527
2016-02-03,9552
2016-02-04,6002
2016-02-05,6153
2016-02-06,10666
2016-02-07,1318
2016-02-08,5475
2016-02-09,7134
2016-02-10,7432
2016-02-11,4299
2016-02-12,5878
2016-02-13,2563
2016-02-14,2629
2016-02-15,5594
2016-02-16,7134
2016-02-17,3307
2016-02-18,10312
2016-02-19,4097
2016-02-20,4040
2016-02-21,2721
2016-02-22,8692
2016-02-23,7840
2016-02-24,6748
2016-02-25,5644
2016-02-26,6101
2016-02-27,6118
2016-02-28,5732
2016-02-29,4972
2016-03-01,8297
2016-03-02,7506
2016-03-03,5821
2016-03-04,9088
2016-03-05,5237
2016-03-06,5281
2016-03-07,2116
2016-03-08,8832
2016-03-09,10276
2016-03-10,6647
2016-03-11,5040
2016-03-12,7086
2016-03-13,1318
2016-03-14,2016
2016-03-15,9113
2016-03-16,6966
2016-03-17,8182
2016-03-18,5151
2016-03-19,4190
2016-03-20,1742
2016-03-21,4201
2016-03-22,5028
2016-03-23,10469
2016-03-24,4065
2016-03-25,2084
2016-03-26,5327
2016-03-27,1799
2016-03-28,6134
2016-03-29,9996
2016-03-30,5339
2016-03-31,8635
2016-04-01,6059
2016-04-02,6556
2016-04-03,734
2016-04-04,6639
2016-04-05,10479
2016-04-06,11709
2016-04-07,6150
2016-04-08,8450
2016-04-09,7574
2016-04-10,1492
2016-04-11,4774
2016-04-12,9208
2016-04-13,5842
2016-04-14,13147
2016-04-15,5245
2016-04-16,4454
2016-04-17,1606
2016-04-18,8377
2016-04-19,10652
2016-04-20,5254
2016-04-21,7178
2016-04-22,4615
2016-04-23,6858
2016-04-24,4229
2016-04-25,7898
2016-04-26,7029
2016-04-27,8007
2016-04-28,10537
2016-04-29,6162
2016-04-30,7077
2016-05-01,2626
2016-05-02,5202
2016-05-03,4701
2016-05-04,11191
2016-05-05,10743
2016-05-06,5004
2016-05-07,7810
2016-05-08,2043
2016-05-09,6287
2016-05-10,5173
2016-05-11,9361
2016-05-12,6355
2016-05-13,5477
2016-05-14,11127
2016-05-15,965
2016-05-16,4701
2016-05-17,5126
2016-05-18,8209
2016-05-19,3735
2016-05-20,6661
2016-05-21,10955
2016-05-22,1713
2016-05-23,8519
2016-05-24,15404
2016-05-25,25449
2016-05-26,7868
2016-05-27,4954
2016-05-28,9168
2016-05-29,1720
2016-05-30,9307
2016-05-31,5710
2016-06-01,9360
2016-06-02,6395
2016-06-03,5561
2016-06-04,6227
2016-06-05,2062
2016-06-06,7439
2016-06-07,5172
2016-06-08,7931
2016-06-09,6210
2016-06-10,7925
2016-06-11,6041
2016-06-12,1867
2016-06-13,12738
2016-06-14,7651
2016-06-15,10989
2016-06-16,9693
2016-06-17,8693
2016-06-18,7718
2016-06-19,7467
2016-06-20,2930
2016-06-21,8315
2016-06-22,10397
2016-06-23,5812
2016-06-24,5066
2016-06-25,4621
2016-06-26,2815
2016-06-27,3269
2016-06-28,8275
2016-06-29,6672
2016-06-30,9707
2016-07-01,7484
2016-07-02,8158
2016-07-03,2776
2016-07-04,7844
2016-07-05,6580
