date,Steps
2017-10-16,24
2018-01-15,2343
2018-01-16,3656
2018-01-17,7353
2018-01-18,1738
2018-01-19,3401
2018-01-20,9650
2018-01-21,2651
2018-01-22,2924
2018-01-23,7033
2018-01-24,3076
2018-01-25,1707
2018-01-26,3686
2018-01-27,441
2018-01-28,1828
2018-01-29,3557
2018-01-30,826
2018-01-31,3420
2018-02-01,4873
2018-02-02,6357
2018-02-03,2570
2018-02-04,5259
2018-02-05,1571
2018-02-06,7095
2018-02-07,3756
2018-02-08,1490
2018-02-09,2832
2018-02-10,7496
2018-02-11,1007
2018-02-12,1071
2018-02-13,375
2018-02-14,2123
2018-02-15,377
2018-02-16,1700
2018-02-17,3977
2018-02-18,6005
2018-02-19,2765
2018-02-20,3215
2018-02-21,3587
2018-02-22,2528
2018-02-23,4662
2018-02-24,2691
2018-02-25,3584
2018-02-26,2367
2018-02-27,5703
2018-02-28,4119
2018-03-01,3046
2018-03-02,2326
2018-03-03,4764
2018-03-04,8787
2018-03-05,1728
2018-03-06,1572
2018-03-07,4126
2018-03-08,2057
2018-03-09,2560
2018-03-10,3597
2018-03-11,4139
2018-03-12,3110
2018-03-13,1850
2018-03-14,2262
2018-03-15,3919
2018-03-16,4951
2018-03-17,5099
2018-03-18,5532
2018-03-19,650
2018-03-20,2238
2018-03-21,4665
2018-03-22,4306
2018-03-23,749
2018-03-24,4639
2018-03-25,3703
2018-03-26,1898
2018-03-27,1265
2018-03-28,2058
2018-03-29,5508
2018-03-30,570
2018-03-31,4127
2018-04-01,1374
2018-04-02,3937
2018-04-03,6191
2018-04-04,937
2018-04-05,5035
2018-04-06,1916
2018-04-07,8046
2018-04-08,3778
2018-04-09,7514
2018-04-10,8047
2018-04-11,4666
2018-04-12,2371
2018-04-13,1292
2018-04-14,4322
2018-04-15,4568
2018-04-16,2925
2018-04-17,1562
2018-04-18,4944
2018-04-19,321
2018-04-20,4916
2018-04-21,7946
2018-04-22,6970
2018-04-23,4272
2018-04-24,10490
2018-04-25,3252
2018-04-26,3958
2018-04-27,4928
2018-04-28,1674
2018-04-29,1710
2018-04-30,5069
2018-05-01,1012
2018-05-02,1794
2018-05-03,3538
2018-05-04,3158
2018-05-05,2388
2018-05-06,704
2018-05-07,4859
2018-05-08,4653
2018-05-09,2838
2018-05-10,3030
2018-05-11,1014
2018-05-12,6736
2018-05-13,10523
2018-05-14,5853
2018-05-15,8902
2018-05-16,2741
2018-05-17,10250
2018-05-18,2558
2018-05-19,2605
2018-05-20,1297
2018-05-21,10203
2018-05-22,1510
2018-05-23,4877
2018-05-24,3529
2018-05-25,377
2018-05-26,1052
2018-05-27,7019
2018-05-28,1562
2018-05-29,1597
2018-05-30,6072
2018-05-31,3527
2018-06-01,5159
2018-06-02,704
2018-06-03,916
2018-06-04,2717
2018-06-05,2056
2018-06-06,3447
2018-06-07,2877
2018-06-08,700
2018-06-09,3530
2018-06-10,8033
2018-06-11,5639
2018-06-12,2831
2018-06-13,5578
2018-06-14,699
2018-06-15,3184
2018-06-16,3479
2018-06-17,707
2018-06-18,246
2018-06-19,907
2018-06-20,482
2018-06-21,302
2018-06-22,173
2018-06-23,221
2018-06-24,761
2018-06-25,315
2018-06-26,1096
2018-06-27,646
2018-06-28,430
2018-06-29,1646
2018-06-30,749
2018-07-01,1725
2018-07-02,2116
2018-07-03,1453
2018-07-04,3877
2018-07-05,1944
2018-07-06,2162
2018-07-07,2996
2018-07-08,970
2018-07-09,3920
2018-07-10,1273
2018-07-11,2017
2018-07-12,2914
2018-07-13,2689
2018-07-14,4360
2018-07-15,2232
2018-07-16,2654
2018-07-17,2989
2018-07-18,736
2018-07-19,3047
2018-07-20,1520
2018-07-21,1577
2018-07-22,179
2018-07-23,3686
2018-07-24,5382
2018-07-25,682
2018-07-26,904
2018-07-27,1221
2018-07-28,2616
2018-07-29,1998
2018-07-30,1021
2018-07-31,1637
2018-08-01,318
2018-08-02,5496
2018-08-03,9554
2018-08-04,12579
2018-08-05,10013
2018-08-06,6833
2018-08-07,1612
2018-08-08,5400
2018-08-09,2901
2018-08-10,4770
2018-08-11,6578
2018-08-12,6867
2018-08-13,7083
2018-08-14,8197
2018-08-15,7692
2018-08-16,3078
2018-08-17,4055
2018-08-18,5995
2018-08-19,2521
2018-08-20,2366
2018-08-21,3821
2018-08-22,1921
2018-08-23,1297
2018-08-24,3610
2018-08-25,3044
2018-08-26,2218
2018-08-27,2524
2018-08-28,1160
2018-08-29,7292
2018-08-30,2582
2018-08-31,5700
2018-09-01,5824
2018-09-02,1809
2018-09-03,3703
2018-09-04,2626
2018-09-05,2427
2018-09-06,827
2018-09-07,2413
2018-09-08,787
2018-09-09,481
2018-09-10,2399
2018-09-11,3014
2018-09-12,6959
2018-09-13,3038
2018-09-14,3251
2018-09-15,4450
2018-09-16,3766
2018-09-17,3950
2018-09-18,4949
2018-09-19,3589
2018-09-20,1044
2018-09-21,2956
2018-09-22,2682
2018-09-23,13273
2018-09-24,3308
2018-09-25,962
2018-09-26,2458
2018-09-27,2326
2018-09-28,5830
2018-09-29,3677
2018-09-30,19886
2018-10-07,284
2018-10-08,5818
2018-10-09,17243
2018-10-14,590
2018-10-15,44319
2018-10-26,25534
2018-10-31,11078
2018-11-03,1772
2018-11-04,613
2018-11-05,5628
2018-11-06,989
2018-11-07,2323
2018-11-08,3711
2018-11-09,1582
2018-11-10,5194
2018-11-11,1586
2018-11-12,445
2018-11-13,1205
2018-11-14,7572
2018-11-15,4047
2018-11-16,7805
2018-11-17,7796
2018-11-18,7675
2018-11-19,2675
2018-11-20,2601
2018-11-21,4576
2018-11-22,2431
2018-11-23,3980
2018-11-24,1449
2018-11-25,2580
2018-11-26,14136
2018-11-27,14214
2018-11-28,14338
