date,Steps
2019-11-18,12041
2019-11-19,3497
2019-11-20,6240
2019-11-21,2259
2019-11-22,4199
2019-11-23,791
2019-11-24,754
2019-11-25,4828
2019-11-26,1731
2019-11-27,1242
2019-11-28,8789
2019-11-29,13073
2019-11-30,1131
2019-12-01,1359
2019-12-02,11199
2019-12-03,2157
2019-12-04,2127
2019-12-05,9316
2019-12-06,778
2019-12-07,1338
2019-12-08,2738
2019-12-09,12312
2019-12-10,3125
2019-12-11,2005
2019-12-12,1297
2019-12-13,9571
2019-12-14,3460
2019-12-15,2078
2019-12-16,10527
2019-12-17,10394
2019-12-18,11166
2019-12-19,2556
2019-12-20,11336
2019-12-21,4049
2019-12-22,1287
2019-12-23,3919
2019-12-24,4382
2019-12-25,1898
2019-12-26,520
2019-12-27,3882
2019-12-28,979
2019-12-29,604
2019-12-30,522
2019-12-31,1408
2020-01-01,1174
2020-01-02,4794
2020-01-03,8601
2020-01-04,1130
2020-01-05,777
2020-01-06,882
2020-01-07,3384
2020-01-08,8784
2020-01-09,10611
2020-01-10,8445
2020-01-11,1177
2020-01-12,451
2020-01-13,12546
2020-01-14,2755
2020-01-15,894
2020-01-16,580
2020-01-17,3433
2020-01-18,1385
2020-01-19,975
2020-01-20,12443
2020-01-21,10788
2020-01-22,12406
2020-01-23,6203
2020-01-24,2503
2020-01-25,840
2020-01-26,2142
2020-01-27,4063
2020-01-28,10149
2020-01-29,7806
2020-01-30,727
2020-01-31,785
2020-02-01,3444
2020-02-02,2001
2020-02-03,11771
2020-02-04,9838
2020-02-05,297
2020-02-06,692
2020-02-07,3605
2020-02-08,1198
2020-02-09,643
2020-02-10,11231
2020-02-11,10684
2020-02-12,3201
2020-02-13,10506
2020-02-14,2990
2020-02-15,894
2020-02-16,1270
2020-02-17,7869
2020-02-18,9683
2020-02-19,8764
2020-02-20,3902
2020-02-21,8599
2020-02-22,1877
2020-02-23,1022
2020-02-24,11539
2020-02-25,11513
2020-02-26,9650
2020-02-27,8698
2020-02-28,3434
2020-02-29,1457
2020-03-01,2658
2020-03-02,8128
2020-03-03,9537
2020-03-04,8198
2020-03-05,10731
2020-03-06,1119
2020-03-07,988
2020-03-08,1640
2020-03-09,4628
2020-03-10,1082
2020-03-11,7558
2020-03-12,8108
2020-03-13,8792
2020-03-14,2202
2020-03-15,506
2020-03-16,5267
2020-03-17,9070
2020-03-18,130
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,1325
2020-03-23,3731
2020-03-24,878
2020-03-25,1227
2020-03-26,1564
2020-03-27,565
2020-03-28,1540
2020-03-29,1797
2020-03-30,4907
2020-03-31,3406
2020-04-01,2280
2020-04-02,1547
2020-04-03,1473
2020-04-04,1746
2020-04-05,1256
2020-04-06,4445
2020-04-07,1822
2020-04-08,2555
2020-04-09,706
2020-04-10,339
2020-04-11,3128
2020-04-12,2370
2020-04-13,5393
2020-04-14,1743
2020-04-15,1777
2020-04-16,2833
2020-04-17,4286
2020-04-18,1963
2020-04-19,5614
2020-04-20,4036
2020-04-21,1101
2020-04-22,1984
2020-04-23,1388
2020-04-24,2981
2020-04-25,3595
2020-04-26,8213
2020-04-27,5884
2020-04-28,5066
2020-04-29,9903
2020-04-30,8292
2020-05-01,7084
2020-05-02,126
2020-05-03,3647
2020-05-04,21
2020-05-05,5877
2020-05-06,6767
2020-05-07,8729
2020-05-08,4982
2020-05-09,128
2020-05-10,5961
2020-05-11,3113
2020-05-12,3821
2020-05-13,6245
2020-05-14,7060
2020-05-15,7627
2020-05-16,1270
2020-05-17,6812
2020-05-18,4960
2020-05-19,7864
2020-05-20,8542
2020-05-21,7569
2020-05-22,6810
