date,Steps
2017-10-21,604
2017-10-22,561
2017-10-23,1717
2017-10-24,2662
2017-10-25,3204
2017-10-26,4350
2017-10-27,6106
2017-10-28,1105
2017-10-29,3169
2017-10-30,6995
2017-10-31,4697
2017-11-01,10783
2017-11-02,5093
2017-11-03,7678
2017-11-04,5666
2017-11-05,7840
2017-11-06,6574
2017-11-07,3134
2017-11-08,2474
2017-11-09,3285
2017-11-10,3863
2017-11-11,4746
2017-11-12,2307
2017-11-13,4185
2017-11-14,3208
2017-11-15,5262
2017-11-16,6166
2017-11-17,3942
2017-11-18,6408
2017-11-19,4063
2017-11-20,6202
2017-11-21,7738
2017-11-22,6074
2017-11-23,4169
2017-11-24,14915
2017-11-25,1570
2017-11-26,5473
2017-11-27,1776
2017-11-28,3174
2017-11-29,8609
2017-11-30,9372
2017-12-01,3904
2017-12-02,1411
2017-12-03,3441
2017-12-04,2339
2017-12-05,7763
2017-12-06,8736
2017-12-07,9877
2017-12-08,10430
2017-12-09,2784
2017-12-10,3512
2017-12-11,5955
2017-12-12,12983
2017-12-13,9928
2017-12-14,10896
2017-12-15,4666
2017-12-16,2859
2017-12-17,1406
2017-12-18,6716
2017-12-19,468
2017-12-20,2198
2017-12-21,5442
2017-12-22,3879
2017-12-23,6701
2017-12-24,5300
2017-12-25,291
2017-12-26,1600
2017-12-27,2434
2017-12-28,5522
2017-12-29,8085
2017-12-30,6857
2017-12-31,5624
2018-01-01,2424
2018-01-02,3430
2018-01-03,1128
2018-01-04,4375
2018-01-05,10727
2018-01-06,399
2018-01-07,2606
2018-01-08,4770
2018-01-09,4441
2018-01-10,2814
2018-01-11,5633
2018-01-12,3412
2018-01-13,3088
2018-01-14,1036
2018-01-15,4889
2018-01-16,4379
2018-01-17,3363
2018-01-18,1392
2018-01-19,5704
2018-01-20,2280
2018-01-21,1469
2018-01-22,2961
2018-01-23,2875
2018-01-24,5977
2018-01-25,11089
2018-01-26,6341
2018-01-27,684
2018-01-28,2728
2018-01-29,5460
2018-01-30,6178
2018-01-31,7812
2018-02-01,11952
2018-02-02,12054
2018-02-03,4774
2018-02-04,2427
2018-02-05,12711
2018-02-06,11727
2018-02-07,15521
2018-02-08,3242
2018-02-09,23159
2018-02-10,3346
2018-02-11,3952
2018-02-12,10520
2018-02-13,10774
2018-02-14,11826
2018-02-15,9487
2018-02-16,895
2018-02-17,3965
2018-02-18,5635
2018-02-19,490
2018-02-20,8813
2018-02-21,7429
2018-02-22,2797
2018-02-23,12546
2018-02-24,4340
2018-02-25,1741
2018-02-26,2316
2018-02-27,10840
2018-02-28,4047
2018-03-01,3256
2018-03-02,22927
2018-03-03,3823
2018-03-04,7420
2018-03-05,4371
2018-03-06,5824
2018-03-07,7498
2018-03-08,5942
2018-03-09,4375
2018-03-10,5094
2018-03-11,2227
2018-03-12,6654
2018-03-13,9781
2018-03-14,16755
2018-03-15,1959
2018-03-16,13870
2018-03-17,5934
2018-03-18,280
2018-03-19,6037
2018-03-20,4862
2018-03-21,5003
2018-03-22,6467
2018-03-23,2226
2018-03-24,5076
2018-03-25,6308
2018-03-26,5416
2018-03-27,2582
2018-03-28,3174
2018-03-29,7690
2018-03-30,7080
2018-03-31,7046
2018-04-01,6472
2018-04-02,2761
2018-04-03,3642
2018-04-04,4034
2018-04-05,2851
2018-04-06,8014
2018-04-07,1908
2018-04-08,1429
2018-04-09,2285
2018-04-10,3268
2018-04-11,1061
2018-04-12,2781
2018-04-13,5565
2018-04-14,5103
2018-04-15,1433
2018-04-16,4974
2018-04-17,3019
2018-04-18,5776
2018-04-19,11609
2018-04-20,5775
2018-04-21,6598
2018-04-22,4429
2018-04-23,6514
2018-04-24,14181
2018-04-25,773
2018-04-26,3090
2018-04-27,4505
2018-04-28,5939
2018-04-29,396
2018-04-30,3234
2018-05-01,3024
2018-05-02,2976
2018-05-03,2969
2018-05-04,4744
2018-05-05,1852
2018-05-06,2196
2018-05-07,359
2018-05-08,1157
2018-05-09,3503
2018-05-10,3256
2018-05-11,6851
2018-05-12,3164
2018-05-13,4286
2018-05-14,4369
2018-05-15,1935
2018-05-16,3585
2018-05-17,2390
2018-05-18,5919
2018-05-19,1432
2018-05-20,2164
2018-05-21,7341
2018-05-22,4531
2018-05-23,2928
2018-05-24,2912
2018-05-25,2403
2018-05-26,6360
2018-05-27,6653
2018-05-28,8180
2018-05-29,1514
2018-05-30,2811
2018-05-31,11055
2018-06-01,17021
2018-06-02,10295
2018-06-03,14758
2018-06-04,12623
2018-06-05,1131
2018-06-06,300
2018-06-07,1361
2018-06-08,1630
2018-06-09,3991
2018-06-10,4830
2018-06-11,7697
2018-06-12,5418
2018-06-13,6372
2018-06-14,10916
2018-06-15,10446
2018-06-16,2589
2018-06-17,585
2018-06-18,2620
2018-06-19,3643
2018-06-20,2426
2018-06-21,2637
2018-06-22,2946
2018-06-23,3448
2018-06-24,1746
2018-06-25,1620
2018-06-26,3041
2018-06-27,2794
2018-06-28,5051
2018-06-29,5046
2018-06-30,2716
2018-07-01,3568
2018-07-02,159
2018-07-03,2323
2018-07-04,1427
2018-07-05,2698
2018-07-06,2924
2018-07-07,1618
2018-07-08,601
2018-07-09,2173
2018-07-10,2127
2018-07-11,898
2018-07-12,10122
2018-07-13,4123
2018-07-14,580
2018-07-15,1515
2018-07-16,1082
2018-07-17,695
2018-07-18,3942
2018-07-19,1421
2018-07-20,4760
2018-07-21,1098
2018-07-22,1005
2018-07-23,3508
2018-07-24,3072
2018-07-25,2908
2018-07-26,7243
2018-07-27,7452
2018-07-28,3517
2018-07-29,3615
2018-07-30,3201
2018-07-31,2340
2018-08-01,3379
2018-08-02,2790
2018-08-03,932
2018-08-04,1582
2018-08-05,2212
2018-08-06,907
2018-08-07,1711
2018-08-08,1417
2018-08-09,2619
2018-08-10,2167
2018-08-11,2325
2018-08-12,2484
2018-08-13,5800
2018-08-14,2522
2018-08-15,1910
2018-08-16,1883
2018-08-17,844
2018-08-18,2383
2018-08-19,768
2018-08-20,30388
2018-08-27,1442
2018-08-28,2712
2018-08-29,4064
2018-08-30,1234
2018-08-31,1007
2018-09-01,12250
2018-09-07,1495
2018-09-08,14670
2018-09-14,180
2018-09-15,4024
2018-09-16,4410
2018-09-17,2993
2018-09-18,1022
2018-09-19,64711
2018-10-15,481
2018-10-16,1014
2018-10-17,11800
2018-10-22,826
2018-10-23,1268
2018-10-24,58464
2018-11-15,2032
2018-11-16,4738
2018-11-17,6736
2018-11-18,5104
2018-11-19,1253
2018-11-20,2457
2018-11-21,3098
2018-11-22,1061
2018-11-23,5998
2018-11-24,1246
2018-11-25,171
2018-11-26,3103
2018-11-27,2250
2018-11-28,4445
2018-11-29,3344
2018-11-30,2812
2018-12-01,3834
2018-12-02,20
2018-12-03,2145
2018-12-04,4367
2018-12-05,2960
2018-12-06,2190
2018-12-07,1570
2018-12-08,2463
2018-12-09,1989
2018-12-10,1103
2018-12-11,3917
2018-12-12,3142
2018-12-13,2450
2018-12-14,2594
2018-12-15,4736
2018-12-16,3981
2018-12-17,2117
2018-12-18,607
2018-12-19,1819
2018-12-20,5801
2018-12-21,2154
2018-12-22,1320
2018-12-23,1173
2018-12-24,1013
2018-12-25,935
2018-12-26,4125
2018-12-27,1040
2018-12-28,936
2018-12-29,8587
2018-12-30,4593
2018-12-31,2352
2019-01-01,700
