date,Steps
2015-03-19,2084
2015-03-20,2229
2015-03-21,2384
2015-03-22,456
2015-03-23,669
2015-03-24,2280
2015-03-25,846
2015-03-26,4422
2015-03-27,5322
2015-03-28,595
2015-03-29,422
2015-03-30,651
2015-03-31,1094
2015-04-01,2895
2015-04-02,4260
2015-04-03,892
2015-04-04,14952
2015-04-05,3511
2015-04-06,890
2015-04-07,670
2015-04-08,6604
2015-04-09,3830
2015-04-10,1626
2015-04-11,526
2015-04-12,563
2015-04-13,4575
2015-04-14,3277
2015-04-15,2918
2015-04-16,4098
2015-04-17,4136
2015-04-18,1119
2015-04-19,146
2015-04-20,3905
2015-04-21,1664
2015-04-22,4624
2015-04-23,4142
2015-04-24,3226
2015-04-25,10618
2015-04-26,690
2015-04-27,1240
2015-04-28,3319
2015-04-29,4559
2015-04-30,4488
2015-05-01,4023
2015-05-02,1584
2015-05-03,810
2015-05-04,1355
2015-05-05,1310
2015-05-06,801
2015-05-07,4100
2015-05-08,579
2015-05-09,2912
2015-05-10,4126
2015-05-11,2015
2015-05-12,3053
2015-05-13,2886
2015-05-14,1521
2015-05-15,2847
2015-05-16,1063
2015-05-17,1505
2015-05-18,4054
2015-05-19,3771
2015-05-20,3668
2015-05-21,1614
2015-05-22,711
2015-05-23,12224
2015-05-24,781
2015-05-25,2884
2015-05-26,5169
2015-05-27,3040
2015-05-28,4364
2015-05-29,1064
2015-05-30,3946
2015-05-31,638
2015-06-01,3866
2015-06-02,1870
2015-06-03,3784
2015-06-04,4960
2015-06-05,2727
2015-06-06,4352
2015-06-07,792
2015-06-08,1083
2015-06-09,856
2015-06-10,9021
2015-06-11,452
2015-06-12,5146
2015-06-13,813
2015-06-14,629
2015-06-15,917
2015-06-16,1176
2015-06-17,2495
2015-06-18,979
2015-06-19,4320
2015-06-20,1026
2015-06-21,2666
2015-06-22,2954
2015-06-23,4958
2015-06-24,1504
2015-06-25,800
2015-06-26,4483
2015-06-27,10318
2015-06-28,7986
2015-06-29,3395
2015-06-30,1900
2015-07-01,2229
2015-07-02,4231
2015-07-03,2378
2015-07-04,2046
2015-07-05,4208
2015-07-06,3262
2015-07-07,6192
2015-07-08,754
2015-07-09,9961
2015-07-10,2609
2015-07-11,4111
2015-07-12,3213
2015-07-13,2101
2015-07-14,894
2015-07-15,1488
2015-07-16,535
2015-07-17,1092
2015-07-18,905
2015-07-19,3463
2015-07-20,4133
2015-07-21,11292
2015-07-22,3678
2015-07-23,5257
2015-07-24,3513
2015-07-25,2485
2015-07-26,2951
2015-07-27,1252
2015-07-28,1978
2015-07-29,3816
2015-07-30,1562
2015-07-31,1310
2015-08-01,2151
2015-08-02,1208
2015-08-03,185
2015-08-04,1047
2015-08-05,653
2015-08-06,253
2015-08-07,1909
2015-08-08,1047
2015-08-09,431
2015-08-10,7437
2015-08-11,434
2015-08-12,1223
2015-08-13,1644
2015-08-14,381
2015-08-15,461
2015-08-16,780
2015-08-17,677
2015-08-18,895
2015-08-19,3894
2015-08-20,1319
2015-08-21,547
2015-08-22,912
2015-08-23,1352
2015-08-24,685
2015-08-25,1683
2015-08-26,523
2015-08-27,7773
2015-08-28,5195
2015-08-29,813
2015-08-30,701
2015-08-31,4622
2015-09-01,2249
2015-09-02,2972
2015-09-03,4705
2015-09-04,2994
2015-09-05,532
2015-09-06,1229
2015-09-07,3660
2015-09-08,826
2015-09-09,2823
2015-09-10,1128
2015-09-11,3326
2015-09-12,1096
2015-09-13,697
2015-09-14,3292
2015-09-15,1819
2015-09-16,812
2015-09-17,600
2015-09-18,2799
2015-09-19,1474
2015-09-20,771
2015-09-21,3181
2015-09-22,670
2015-09-23,3703
2015-09-24,334
2015-09-25,3137
2015-09-26,590
2015-09-27,448
2015-09-28,3113
2015-09-29,4442
2015-09-30,3098
2015-10-01,4718
2015-10-02,3008
2015-10-03,9116
2015-10-04,1646
2015-10-05,3137
2015-10-06,561
2015-10-07,2847
2015-10-08,938
2015-10-09,3055
2015-10-10,955
2015-10-11,830
2015-10-12,3469
2015-10-13,4359
2015-10-14,1352
2015-10-15,1221
2015-10-16,2795
2015-10-17,1295
2015-10-18,655
2015-10-19,635
2015-10-20,592
2015-10-21,1307
2015-10-22,2598
2015-10-23,1775
2015-10-24,3305
2015-10-25,1730
2015-10-26,1198
2015-10-27,3130
2015-10-28,3876
2015-10-29,746
2015-10-30,3105
2015-10-31,915
2015-11-01,1604
2015-11-02,426
2015-11-03,377
2015-11-04,1004
2015-11-05,4182
2015-11-06,3376
2015-11-07,884
2015-11-08,966
2015-11-09,3550
2015-11-10,3603
2015-11-11,826
2015-11-12,1983
2015-11-13,3258
2015-11-14,2470
2015-11-15,1211
2015-11-16,3690
2015-11-17,5502
2015-11-18,4391
2015-11-19,3621
2015-11-20,3946
2015-11-21,1042
2015-11-22,631
2015-11-23,3351
2015-11-24,4066
2015-11-25,4224
2015-11-26,3290
2015-11-27,3517
2015-11-28,1354
2015-11-29,814
2015-11-30,4606
2015-12-01,4755
2015-12-02,4325
2015-12-03,3878
2015-12-04,4202
2015-12-05,2870
2015-12-06,1340
2015-12-07,3106
2015-12-08,3513
2015-12-09,1174
2015-12-10,3223
2015-12-11,3288
2015-12-12,1048
2015-12-13,503
2015-12-14,2567
2015-12-15,4046
2015-12-16,4353
2015-12-17,4091
2015-12-18,3773
2015-12-19,622
2015-12-20,574
2015-12-21,4309
2015-12-22,3713
2015-12-23,4095
2015-12-24,3656
2015-12-25,728
2015-12-26,852
2015-12-27,6118
2015-12-28,836
2015-12-29,4491
2015-12-30,823
2015-12-31,2191
2016-01-01,1627
2016-01-02,1241
2016-01-03,1132
2016-01-04,3581
2016-01-05,3777
2016-01-06,551
2016-01-07,3515
2016-01-08,1817
2016-01-09,1017
2016-01-10,681
2016-01-11,3138
2016-01-12,2522
2016-01-13,839
2016-01-14,4829
2016-01-15,4894
2016-01-16,1413
2016-01-17,707
2016-01-18,3080
2016-01-19,1613
2016-01-20,3186
2016-01-21,754
2016-01-22,4000
2016-01-23,3811
2016-01-24,1046
2016-01-25,3889
2016-01-26,836
2016-01-27,5219
2016-01-28,4453
2016-01-29,2045
2016-01-30,557
