date,Steps
2019-11-05,89
2019-11-06,4213
2019-11-07,694
2019-11-08,11947
2019-11-09,10638
2019-11-10,426
2019-11-11,0
2019-11-12,6810
2019-11-13,8273
2019-11-14,9298
2019-11-15,15522
2019-11-16,22481
2019-11-17,16488
2019-11-18,19850
2019-11-19,11342
2019-11-20,12673
2019-11-21,10491
2019-11-22,11026
2019-11-23,3383
2019-11-24,1329
2019-11-25,13345
2019-11-26,3992
2019-11-27,8714
2019-11-28,772
2019-11-29,13450
2019-11-30,3864
2019-12-01,761
2019-12-02,1909
2019-12-03,9685
2019-12-04,4010
2019-12-05,13547
2019-12-06,8070
2019-12-07,3755
2019-12-08,452
2019-12-09,1322
2019-12-10,9025
2019-12-11,8670
2019-12-12,7422
2019-12-13,11203
2019-12-14,3693
2019-12-15,9620
2019-12-16,570
2019-12-17,8253
2019-12-18,10726
2019-12-19,8948
2019-12-20,22113
2019-12-21,3357
2019-12-22,1110
2019-12-23,705
2019-12-24,7097
2019-12-25,2800
2019-12-26,266
2019-12-27,7830
2019-12-28,3598
2019-12-29,689
2019-12-30,4041
2019-12-31,172
2020-01-01,2249
2020-01-02,5785
2020-01-03,447
2020-01-04,10563
2020-01-05,790
2020-01-06,3611
2020-01-07,8295
2020-01-08,6971
2020-01-09,7345
2020-01-10,10213
2020-01-11,3827
2020-01-12,2756
2020-01-13,7963
2020-01-14,9440
2020-01-15,903
2020-01-16,939
2020-01-17,10059
2020-01-18,931
2020-01-19,3349
2020-01-20,13981
2020-01-21,5648
2020-01-22,1096
2020-01-23,1007
2020-01-24,7317
2020-01-25,9048
2020-01-26,4397
2020-01-27,6008
2020-01-28,5671
2020-01-29,3670
2020-01-30,4655
2020-01-31,5605
2020-02-01,3985
2020-02-02,6811
2020-02-03,7378
2020-02-04,10404
2020-02-05,10168
2020-02-06,9989
2020-02-07,13245
2020-02-08,3537
2020-02-09,95
2020-02-10,2959
2020-02-11,890
2020-02-12,7741
2020-02-13,7623
2020-02-14,24237
2020-02-15,28619
2020-02-16,5824
2020-02-17,7831
2020-02-18,7758
2020-02-19,4209
2020-02-20,6585
2020-02-21,9899
2020-02-22,1735
2020-02-23,628
2020-02-24,168
2020-02-25,3134
2020-02-26,4530
2020-02-27,7101
2020-02-28,13729
2020-02-29,5148
2020-03-01,15866
2020-03-02,9510
2020-03-03,4878
2020-03-04,1699
2020-03-05,6636
2020-03-06,4904
2020-03-07,3387
2020-03-08,846
2020-03-09,5438
2020-03-10,283
2020-03-11,8558
2020-03-12,6265
2020-03-13,3404
2020-03-14,436
2020-03-15,595
2020-03-16,4711
2020-03-17,5823
2020-03-18,1270
2020-03-19,610
2020-03-20,351
2020-03-21,1637
2020-03-22,82
2020-03-23,401
2020-03-24,419
2020-03-25,122
2020-03-26,71
2020-03-27,124
2020-03-28,342
2020-03-29,337
2020-03-30,266
2020-03-31,492
2020-04-01,425
2020-04-02,527
2020-04-03,214
2020-04-04,283
2020-04-05,477
2020-04-06,276
2020-04-07,239
2020-04-08,57
2020-04-09,118
2020-04-10,4044
2020-04-11,5661
2020-04-12,920
2020-04-13,5437
2020-04-14,1729
2020-04-15,262
2020-04-16,742
2020-04-17,484
2020-04-18,2137
2020-04-19,1045
2020-04-20,814
2020-04-21,880
2020-04-22,1263
2020-04-23,2181
2020-04-24,593
2020-04-25,732
2020-04-26,1205
2020-04-27,1498
2020-04-28,1115
2020-04-29,1176
2020-04-30,794
2020-05-01,2889
2020-05-02,2264
2020-05-03,452
2020-05-04,1086
2020-05-05,1027
2020-05-06,1593
2020-05-07,949
2020-05-08,2430
2020-05-09,828
2020-05-10,1285
2020-05-11,1167
2020-05-12,1182
2020-05-13,1114
2020-05-14,1152
2020-05-15,6169
2020-05-16,1142
2020-05-17,8264
2020-05-18,509
2020-05-19,774
2020-05-20,1046
2020-05-21,7175
2020-05-22,7725
2020-05-23,1650
2020-05-24,10763
2020-05-25,6890
2020-05-26,556
2020-05-27,0
2020-05-28,2476
2020-05-29,1178
2020-05-30,182
2020-05-31,1085
2020-06-01,293
2020-06-02,5926
2020-06-03,5928
2020-06-04,530
2020-06-05,471
2020-06-06,198
2020-06-07,323
2020-06-08,882
2020-06-09,5181
2020-06-10,500
2020-06-11,754
2020-06-12,1480
2020-06-13,8301
2020-06-14,1376
2020-06-15,6838
2020-06-16,4663
2020-06-17,697
2020-06-18,7054
2020-06-19,2015
2020-06-20,759
2020-06-21,0
2020-06-22,0
2020-06-23,332
2020-06-24,961
2020-06-25,5514
2020-06-26,13406
2020-06-27,223
2020-06-28,362
2020-06-29,1765
2020-06-30,654
2020-07-01,12724
2020-07-02,3988
2020-07-03,5730
2020-07-04,22865
2020-07-05,1013
2020-07-06,4359
2020-07-07,200
2020-07-08,686
