date,Steps
2020-05-21,1226
2020-05-22,3396
2020-05-23,393
2020-05-24,2498
2020-05-25,3693
2020-05-26,1284
2020-05-27,3081
2020-05-28,5069
2020-05-29,7162
2020-05-30,2652
2020-05-31,641
2020-06-01,8142
2020-06-02,4416
2020-06-03,7047
2020-06-04,5036
2020-06-05,3572
2020-06-06,553
2020-06-07,1944
2020-06-08,5138
2020-06-09,4810
2020-06-10,4621
2020-06-11,4877
2020-06-12,3991
2020-06-13,1421
2020-06-14,7546
2020-06-15,9019
2020-06-16,5854
2020-06-17,3128
2020-06-18,5029
2020-06-19,5918
2020-06-20,2190
2020-06-21,2554
2020-06-22,4005
2020-06-23,4106
2020-06-24,4919
2020-06-25,4811
2020-06-26,3847
2020-06-27,2793
2020-06-28,1265
2020-06-29,5019
2020-06-30,5035
2020-07-01,4351
2020-07-02,1064
2020-07-03,701
2020-07-04,1520
2020-07-05,2324
2020-07-06,2922
2020-07-07,4341
2020-07-08,6318
2020-07-09,3045
2020-07-10,4704
2020-07-11,1685
2020-07-12,393
2020-07-13,5662
2020-07-14,2782
2020-07-15,4371
2020-07-16,3675
2020-07-17,3283
2020-07-18,3129
2020-07-19,1626
2020-07-20,2767
2020-07-21,6389
2020-07-22,4135
2020-07-23,5189
2020-07-24,5637
2020-07-25,3337
2020-07-26,824
2020-07-27,1510
2020-07-28,7017
2020-07-29,3749
2020-07-30,7888
2020-07-31,1685
2020-08-01,6949
2020-08-02,5027
2020-08-03,6482
2020-08-04,3637
2020-08-05,2028
2020-08-06,4044
2020-08-07,7773
2020-08-08,437
2020-08-09,7874
2020-08-10,1028
2020-08-11,4446
2020-08-12,5091
2020-08-13,6111
2020-08-14,8556
2020-08-15,629
2020-08-16,1894
2020-08-17,7843
2020-08-18,3455
2020-08-19,8046
2020-08-20,8411
2020-08-21,5022
2020-08-22,2499
2020-08-23,7146
2020-08-24,6098
2020-08-25,3589
2020-08-26,4329
2020-08-27,10475
2020-08-28,3281
2020-08-29,7665
2020-08-30,497
2020-08-31,2589
2020-09-01,3628
2020-09-02,1703
2020-09-03,2012
2020-09-04,2185
2020-09-05,6000
2020-09-06,3624
2020-09-07,3296
2020-09-08,2853
2020-09-09,1780
2020-09-10,7182
2020-09-11,2051
2020-09-12,1240
2020-09-13,676
2020-09-14,3357
2020-09-15,6789
2020-09-16,2716
2020-09-17,4751
2020-09-18,3104
2020-09-19,558
2020-09-20,1171
2020-09-21,4030
2020-09-22,872
2020-09-23,7499
2020-09-24,6185
2020-09-25,3614
2020-09-26,806
2020-09-27,1444
2020-09-28,1556
2020-09-29,6812
2020-09-30,7387
2020-10-01,2282
2020-10-02,3898
2020-10-03,2159
2020-10-04,5367
2020-10-05,8705
2020-10-06,3314
2020-10-07,2620
2020-10-08,2219
2020-10-09,1400
2020-10-10,4113
2020-10-11,1717
2020-10-12,4047
2020-10-13,3691
2020-10-14,5197
2020-10-15,1378
2020-10-16,2697
2020-10-17,1563
2020-10-18,20397
2020-10-19,795
2020-10-20,2401
2020-10-21,1308
2020-10-22,1332
2020-10-23,4721
2020-10-24,2028
2020-10-25,808
2020-10-26,1026
2020-10-27,9804
2020-10-28,2015
2020-10-29,2023
2020-10-30,9157
2020-10-31,1730
2020-11-01,3091
2020-11-02,1120
2020-11-03,2230
2020-11-04,3269
2020-11-05,2490
2020-11-06,1126
2020-11-07,551
2020-11-08,3746
2020-11-09,2935
2020-11-10,1014
2020-11-11,4055
2020-11-12,3914
2020-11-13,9444
2020-11-14,10591
2020-11-15,6023
2020-11-16,5192
2020-11-17,2191
