date,Steps
2019-01-01,8380
2019-01-02,3180
2019-01-03,10534
2019-01-04,9955
2019-01-05,2200
2019-01-06,3103
2019-01-07,5834
2019-01-08,6003
2019-01-09,6203
2019-01-10,7597
2019-01-11,6213
2019-01-12,2558
2019-01-13,2185
2019-01-14,8524
2019-01-15,1112
2019-01-16,7283
2019-01-17,9711
2019-01-18,7179
2019-01-19,8495
2019-01-20,10047
2019-01-21,7557
2019-01-22,7261
2019-01-23,2301
2019-01-24,10609
2019-01-25,3209
2019-01-26,5851
2019-01-27,1737
2019-01-28,9078
2019-01-29,2450
2019-01-30,6626
2019-01-31,12664
2019-02-01,7073
2019-02-02,10796
2019-02-03,6319
2019-02-04,8446
2019-02-05,1483
2019-02-06,6667
2019-02-07,5807
2019-02-08,9473
2019-02-09,3213
2019-02-10,6258
2019-02-11,11645
2019-02-12,8990
2019-02-13,13418
2019-02-14,10945
2019-02-15,14216
2019-02-16,14811
2019-02-17,9813
2019-02-18,15685
2019-02-19,6982
2019-02-20,7013
2019-02-21,9193
2019-02-22,8141
2019-02-23,5170
2019-02-24,1604
2019-02-25,6272
2019-02-26,5899
2019-02-27,12895
2019-02-28,12330
2019-03-01,14160
2019-03-02,1230
2019-03-03,11471
2019-03-04,18026
2019-03-05,11820
2019-03-06,6905
2019-03-07,5950
2019-03-08,16655
2019-03-09,6955
2019-03-10,5628
2019-03-11,11760
2019-03-12,8239
2019-03-13,151
2019-03-14,10257
2019-03-15,11203
2019-03-16,2131
2019-03-17,17862
2019-03-18,15780
2019-03-19,4740
2019-03-20,9317
2019-03-21,8585
2019-03-22,9867
2019-03-23,4714
2019-03-24,2967
2019-03-25,1490
2019-03-26,13581
2019-03-27,4275
2019-03-28,13312
2019-03-29,14969
2019-03-30,8301
2019-03-31,6146
2019-04-01,18924
2019-04-02,18653
2019-04-03,8913
2019-04-04,8251
2019-04-05,6709
2019-04-06,10404
2019-04-07,2341
2019-04-08,12618
2019-04-09,9241
2019-04-10,9910
2019-04-11,5968
2019-04-12,6341
2019-04-13,3522
2019-04-14,2312
2019-04-15,3767
2019-04-16,13269
2019-04-17,4412
2019-04-18,9957
2019-04-19,4122
2019-04-20,6545
2019-04-21,3114
2019-04-22,10001
2019-04-23,14257
2019-04-24,3902
2019-04-25,6103
2019-04-26,8003
2019-04-27,6648
2019-04-28,8118
2019-04-29,7001
2019-04-30,11439
2019-05-01,5345
2019-05-02,9797
2019-05-03,12193
2019-05-04,6772
2019-05-05,3648
2019-05-06,7386
2019-05-07,12544
2019-05-08,13735
2019-05-09,9222
2019-05-10,15437
2019-05-11,1739
2019-05-12,9894
2019-05-13,25208
2019-05-14,15387
2019-05-15,7355
2019-05-16,9838
2019-05-17,15595
2019-05-18,8936
2019-05-19,11116
2019-05-20,6892
2019-05-21,8179
2019-05-22,8882
2019-05-23,13810
2019-05-24,5659
2019-05-25,2847
2019-05-26,7519
2019-05-27,11145
2019-05-28,18007
2019-05-29,9810
2019-05-30,11856
2019-05-31,9374
2019-06-01,1631
2019-06-02,3335
2019-06-03,9306
2019-06-04,7074
2019-06-05,6105
2019-06-06,3991
2019-06-07,3572
2019-06-08,9578
2019-06-09,10879
2019-06-10,21866
2019-06-11,13950
2019-06-12,9350
2019-06-13,12602
2019-06-14,13039
2019-06-15,3188
2019-06-16,1273
2019-06-17,5516
2019-06-18,12178
2019-06-19,9206
2019-06-20,9182
2019-06-21,10240
2019-06-22,8559
2019-06-23,11025
2019-06-24,3528
2019-06-25,8300
2019-06-26,7712
2019-06-27,12963
2019-06-28,10749
2019-06-29,5931
2019-06-30,7954
2019-07-01,9305
2019-07-02,12515
2019-07-03,4477
2019-07-04,3188
2019-07-05,8247
2019-07-06,6892
2019-07-07,4978
2019-07-08,3799
2019-07-09,6397
2019-07-10,11054
2019-07-11,4632
2019-07-12,5661
2019-07-13,9482
2019-07-14,3322
2019-07-15,2152
2019-07-16,4324
2019-07-17,5424
2019-07-18,4477
2019-07-19,3206
2019-07-20,12620
2019-07-21,5778
2019-07-22,11065
2019-07-23,11547
2019-07-24,7689
2019-07-25,12166
2019-07-26,7539
2019-07-27,5582
2019-07-28,9667
2019-07-29,12964
2019-07-30,2481
2019-07-31,7768
2019-08-01,3082
2019-08-02,2911
2019-08-03,2657
2019-08-04,8849
2019-08-05,3367
2019-08-06,3969
2019-08-07,5939
2019-08-08,6285
2019-08-09,3456
2019-08-10,7882
2019-08-11,4951
2019-08-12,6579
2019-08-13,3767
2019-08-14,7262
2019-08-15,5863
2019-08-16,3818
2019-08-17,4973
2019-08-18,10468
2019-08-19,11450
2019-08-20,8679
2019-08-21,7272
2019-08-22,3802
2019-08-23,7810
2019-08-24,6626
2019-08-25,6782
2019-08-26,3201
2019-08-27,6238
2019-08-28,9860
2019-08-29,3294
2019-08-30,6959
