date,Steps
2020-03-25,2644
2020-03-26,10077
2020-03-27,7879
2020-03-28,197
2020-03-29,639
2020-03-30,2075
2020-03-31,2083
2020-04-01,5676
2020-04-02,10503
2020-04-03,10425
2020-04-04,1037
2020-04-05,4126
2020-04-06,1436
2020-04-07,2753
2020-04-08,1044
2020-04-09,1915
2020-04-10,2066
2020-04-11,12897
2020-04-12,911
2020-04-13,1897
2020-04-14,1438
2020-04-15,5406
2020-04-16,6306
2020-04-17,3819
2020-04-18,1003
2020-04-19,11605
2020-04-20,11455
2020-04-21,1136
2020-04-22,8288
2020-04-23,12843
2020-04-24,11680
2020-04-25,11011
2020-04-26,11443
2020-04-27,12591
2020-04-28,12291
2020-04-29,2281
2020-04-30,14849
2020-05-01,14614
2020-05-02,12661
2020-05-03,13288
2020-05-04,13169
2020-05-05,15808
2020-05-06,10689
2020-05-07,13978
2020-05-08,17157
2020-05-09,15420
2020-05-10,12198
2020-05-11,13381
2020-05-12,11643
2020-05-13,3418
2020-05-14,14671
2020-05-15,10517
2020-05-16,13440
2020-05-17,13256
2020-05-18,13428
2020-05-19,12257
2020-05-20,15868
2020-05-21,2658
2020-05-22,5551
2020-05-23,12004
2020-05-24,11513
2020-05-25,1416
2020-05-26,4555
2020-05-27,10475
2020-05-28,8607
2020-05-29,11549
2020-05-30,1163
2020-05-31,6595
2020-06-01,7674
2020-06-02,6330
2020-06-03,5729
2020-06-04,0
2020-06-08,918
2020-06-09,161
2020-06-10,0
2020-06-11,648
2020-06-13,29
2020-06-16,6144
2020-06-17,4717
2020-06-18,3105
2020-06-19,7274
2020-06-20,4019
2020-06-21,763
2020-06-22,3064
2020-06-23,918
2020-06-24,590
2020-06-25,762
2020-06-26,2898
2020-06-27,802
2020-06-28,736
2020-06-29,1211
2020-06-30,1602
2020-07-01,1956
2020-07-02,7390
2020-07-03,4128
2020-07-04,1104
2020-07-05,553
2020-07-06,4315
2020-07-07,4278
2020-07-08,420
2020-07-09,0
2020-07-10,5610
2020-07-11,856
2020-07-12,3069
2020-07-13,2004
2020-07-14,447
2020-07-15,5178
2020-07-16,5005
2020-07-17,7986
2020-07-18,3709
2020-07-19,4701
2020-07-20,1851
2020-07-21,718
2020-07-22,5116
2020-07-23,3580
2020-07-24,2645
2020-07-25,6237
2020-07-26,10378
2020-07-27,6298
2020-07-28,7428
2020-07-29,4004
2020-07-30,2334
2020-07-31,9517
2020-08-01,4478
2020-08-02,2707
2020-08-03,8110
2020-08-04,6407
2020-08-05,7532
2020-08-06,5244
2020-08-07,5934
2020-08-08,2435
2020-08-09,4097
2020-08-10,9404
2020-08-11,14895
2020-08-12,14917
2020-08-13,5045
2020-08-14,1022
2020-08-15,1707
2020-08-16,4329
2020-08-17,3274
2020-08-18,3625
2020-08-19,3588
2020-08-20,4630
2020-08-21,6423
2020-08-22,6688
2020-08-23,5455
2020-08-24,5291
2020-08-25,4656
2020-08-26,2831
2020-08-27,3438
2020-08-28,2570
2020-08-29,1645
2020-08-30,2191
2020-08-31,6301
2020-09-01,1678
2020-09-02,4734
2020-09-03,2317
2020-09-04,7155
2020-09-05,763
2020-09-06,2414
2020-09-07,11270
2020-09-08,5462
2020-09-09,7853
2020-09-10,5904
2020-09-11,2385
2020-09-12,1294
2020-09-13,796
2020-09-14,2670
2020-09-15,5407
2020-09-16,13724
2020-09-17,6334
2020-09-18,8198
2020-09-19,8539
2020-09-20,13621
2020-09-21,10562
2020-09-22,12530
2020-09-23,8505
2020-09-24,6933
2020-09-25,10677
2020-09-26,3279
2020-09-27,3518
2020-09-28,9593
2020-09-29,3074
2020-09-30,7220
2020-10-01,7563
2020-10-02,8813
2020-10-03,13894
2020-10-04,4163
2020-10-05,6523
2020-10-06,3663
2020-10-07,11562
2020-10-08,4450
2020-10-09,6087
2020-10-10,3681
2020-10-11,12013
2020-10-12,8413
2020-10-13,1669
2020-10-14,10926
2020-10-15,2607
2020-10-16,2892
2020-10-17,6876
2020-10-18,6537
2020-10-19,5173
2020-10-20,6778
2020-10-21,4067
2020-10-22,12701
2020-10-23,3207
2020-10-24,1310
2020-10-25,6051
2020-10-26,1862
2020-10-27,244
2020-03-25,2644
2020-03-26,10077
2020-03-27,7879
2020-03-28,197
2020-03-29,639
2020-03-30,2075
2020-03-31,2083
2020-04-01,5676
2020-04-02,10503
2020-04-03,10425
2020-04-04,1037
2020-04-05,4126
2020-04-06,1436
2020-04-07,2753
2020-04-08,1044
2020-04-09,1915
2020-04-10,2066
2020-04-11,12897
2020-04-12,911
2020-04-13,1897
2020-04-14,1438
2020-04-15,5406
2020-04-16,6306
2020-04-17,3819
2020-04-18,1003
2020-04-19,11605
2020-04-20,11455
2020-04-21,1136
2020-04-22,8288
2020-04-23,12843
2020-04-24,11680
2020-04-25,11011
2020-04-26,11443
2020-04-27,12591
2020-04-28,12291
2020-04-29,2281
2020-04-30,14849
2020-05-01,14614
2020-05-02,12661
2020-05-03,13288
2020-05-04,13169
2020-05-05,15808
2020-05-06,10689
2020-05-07,13978
2020-05-08,17157
2020-05-09,15420
2020-05-10,12198
2020-05-11,13381
2020-05-12,11643
2020-05-13,3418
2020-05-14,14671
2020-05-15,10517
2020-05-16,13440
2020-05-17,13256
2020-05-18,13428
2020-05-19,12257
2020-05-20,15868
2020-05-21,2658
2020-05-22,5551
