date,Steps
2019-12-14,257
2019-12-15,3480
2019-12-16,2384
2019-12-17,1563
2019-12-18,1480
2019-12-19,3818
2019-12-20,3308
2019-12-21,5481
2019-12-22,1273
2019-12-23,9327
2019-12-24,14265
2019-12-25,1751
2019-12-26,5262
2019-12-27,6993
2019-12-28,4018
2019-12-29,6335
2019-12-30,3525
2019-12-31,7193
2020-01-01,9115
2020-01-02,8364
2020-01-03,9359
2020-01-04,8367
2020-01-05,4255
2020-01-06,3746
2020-01-07,5751
2020-01-08,6011
2020-01-09,5335
2020-01-10,3762
2020-01-11,4138
2020-01-12,4425
2020-01-13,6125
2020-01-14,4667
2020-01-15,3519
2020-01-16,6756
2020-01-17,6928
2020-01-18,2052
2020-01-19,3626
2020-01-20,2570
2020-01-21,6982
2020-01-22,2542
2020-01-23,5534
2020-01-24,2123
2020-01-25,8251
2020-01-26,2929
2020-01-27,2013
2020-01-28,3421
2020-01-29,4865
2020-01-30,11189
2020-01-31,4375
2020-02-01,4003
2020-02-02,8199
2020-02-03,6758
2020-02-04,7424
2020-02-05,6897
2020-02-06,2424
2020-02-07,9292
2020-02-08,6176
2020-02-09,2820
2020-02-10,5993
2020-02-11,12103
2020-02-12,6949
2020-02-13,8201
2020-02-14,10589
2020-02-15,6773
2020-02-16,4475
2020-02-17,9942
2020-02-18,4836
2020-02-19,9118
2020-02-20,5048
2020-02-21,5680
2020-02-22,5037
2020-02-23,4839
2020-02-24,8004
2020-02-25,5729
2020-02-26,6099
2020-02-27,6882
2020-02-28,6437
2020-02-29,3952
2020-03-01,4135
2020-03-02,8185
2020-03-03,9228
2020-03-04,3553
2020-03-05,2859
2020-03-06,7871
2020-03-07,3781
2020-03-08,2996
2020-03-09,6264
2020-03-10,4458
2020-03-11,9062
2020-03-12,9811
2020-03-13,2922
2020-03-14,8953
2020-03-15,3014
2020-03-16,4305
2020-03-17,4556
2020-03-18,4878
2020-03-19,5323
2020-03-20,3411
2020-03-21,5340
2020-03-22,5009
2020-03-23,5820
2020-03-24,3629
2020-03-25,3126
2020-03-26,2720
2020-03-27,6189
2020-03-28,4461
2020-03-29,2382
2020-03-30,5948
2020-03-31,3791
2020-04-01,2616
2020-04-02,4956
2020-04-03,3783
2020-04-04,2178
2020-04-05,3848
2020-04-06,4801
2020-04-07,5796
2020-04-08,9671
2020-04-09,7997
2020-04-10,1489
2020-04-11,4478
2020-04-12,1664
2020-04-13,1614
2020-04-14,2748
2020-04-15,8947
2020-04-16,4942
2020-04-17,7817
2020-04-18,7360
2020-04-19,14273
2020-04-20,12114
2020-04-21,10988
2020-04-22,10394
2020-04-23,11181
2020-04-24,7022
2020-04-25,12857
2020-04-26,7399
2020-04-27,14117
2020-04-28,6107
2020-04-29,10790
2020-04-30,8635
2020-05-01,1731
2020-05-02,3214
2020-05-03,1561
2020-05-04,10959
2020-05-05,10864
2020-05-06,13179
2020-05-07,7960
2020-05-08,8639
2020-05-09,8362
2020-05-10,5470
2020-05-11,10097
2020-05-12,13894
2020-05-13,6347
2020-05-14,14686
2020-05-15,9917
2020-05-16,11899
2020-05-17,8705
2020-05-20,453
2020-05-21,2914
2020-05-22,12301
2020-05-23,3431
2020-05-24,18487
2020-05-25,8264
2020-05-26,6518
2020-05-27,5637
2020-05-28,8193
2020-05-29,2509
2020-05-30,3438
2020-05-31,15336
2020-06-01,607
2020-06-02,6702
2020-06-03,8453
2020-06-04,17815
2020-06-05,5503
2020-06-06,16732
2020-06-07,7381
2020-06-08,7730
2020-06-09,5752
2020-06-10,12872
2020-06-11,10604
2020-06-12,11322
2020-06-13,10669
2020-06-14,10161
2020-06-15,19129
2020-06-16,15217
2020-06-17,14846
2020-06-18,14304
2020-06-19,7984
2020-06-20,17256
2020-06-21,4875
2020-06-22,13128
2020-06-23,6800
2020-06-24,8363
2020-06-25,21394
2020-06-26,3552
2020-06-27,4100
2020-06-28,7870
2020-06-29,3481
2020-06-30,2425
2020-07-01,6691
2020-07-02,2499
2020-07-03,4856
2020-07-04,6133
2020-07-05,5570
2020-07-06,4528
2020-07-07,6655
2020-07-08,8540
2020-07-09,10293
2020-07-10,7318
2020-07-11,15537
2020-07-12,6737
2020-07-13,8936
2020-07-14,12717
2020-07-15,10222
2020-07-16,7828
2020-07-17,3724
2020-07-18,5415
2020-07-19,10074
2020-07-20,12012
2020-07-21,10775
2020-07-22,6337
2020-07-23,8928
2020-07-24,2232
2020-07-25,5039
2020-07-26,10045
2020-07-27,7693
2020-07-28,15138
2020-07-29,9976
2020-07-30,10327
2020-07-31,3321
2020-08-01,3876
2020-08-02,2730
2020-08-03,5494
2020-08-04,9380
2020-08-05,4686
2020-08-06,3755
2020-08-07,8173
2020-08-08,3046
2020-08-09,3548
2020-08-10,7094
2020-08-11,3547
2020-08-12,3811
2020-08-13,9433
2020-08-14,2602
2020-08-15,6917
2020-08-16,4957
2020-08-17,7669
2020-08-18,9409
2020-08-19,1523
2020-08-20,5069
2020-08-21,3137
2020-08-22,7710
2020-08-23,3432
2020-08-24,8775
2020-08-25,2141
2020-08-26,3261
2020-08-27,2854
2020-08-28,15401
2020-08-29,4222
2020-08-30,2723
2020-08-31,284
2020-09-01,10582
2020-09-02,11672
2020-09-03,12152
2020-09-04,15245
2020-09-05,5431
2020-09-06,2769
2020-09-07,11112
2020-09-08,10196
2020-09-09,19102
2020-09-10,12734
2020-09-11,14604
2020-09-12,7115
2020-09-13,2494
2020-09-14,11748
2020-09-15,6939
2020-09-16,13048
2020-09-17,12130
