date,Steps
2018-08-08,2651
2018-08-09,1279
2018-08-10,6216
2018-08-11,1570
2018-08-12,840
2018-08-13,1105
2018-08-14,1766
2018-08-15,867
2018-08-16,2206
2018-08-17,2266
2018-08-18,7704
2018-08-19,1835
2018-08-20,64
2018-08-21,1160
2018-08-22,1659
2018-08-23,1757
2018-08-24,4410
2018-08-25,371
2018-08-26,2149
2018-08-27,773
2018-08-28,1775
2018-08-29,1218
2018-08-30,2273
2018-08-31,8140
2018-09-01,5192
2018-09-02,2605
2018-09-03,4165
2018-09-04,11231
2018-09-05,8609
2018-09-06,7848
2018-09-07,1795
2018-09-08,6058
2018-09-09,446
2018-09-10,4201
2018-09-11,284
2018-09-12,7219
2018-09-13,2406
2018-09-14,2176
2018-09-15,1061
2018-09-16,5079
2018-09-17,1176
2018-09-18,2380
2018-09-19,1548
2018-09-20,1290
2018-09-21,1308
2018-09-22,1102
2018-09-23,6332
2018-09-24,11437
2018-09-25,7644
2018-09-26,8355
2018-09-27,6385
2018-09-28,4287
2018-09-29,3609
2018-09-30,1839
2018-10-01,528
2018-10-02,1126
2018-10-03,5261
2018-10-04,5261
2018-10-05,9863
2018-10-06,6629
2018-10-07,3944
2018-10-08,13256
2018-10-17,3760
2018-10-20,3416
2018-10-21,1023
2018-10-22,1094
2018-10-23,758
2018-10-24,214
2018-10-25,1298
2018-10-26,1173
2018-10-27,1895
2018-10-28,2885
2018-10-29,4939
2018-10-30,1554
2018-10-31,7726
2018-11-01,9653
2018-11-02,4737
2018-11-03,6151
2018-11-04,829
2018-11-05,1490
2018-11-06,622
2018-11-07,20641
2018-11-17,1766
2018-11-18,2738
2018-11-19,480
2018-11-20,2165
2018-11-21,4587
2018-11-22,2773
2018-11-23,3436
2018-11-24,982
2018-11-25,4057
2018-11-26,481
2018-11-27,2040
2018-11-28,2220
2018-11-29,1217
2018-11-30,720
2018-12-01,3821
2018-12-02,4002
2018-12-03,1637
2018-12-04,1320
2018-12-05,2355
2018-12-06,60
2018-12-07,1898
2018-12-08,4939
2018-12-09,1956
2018-12-10,903
2018-12-11,1043
2018-12-12,1795
2018-12-13,2163
2018-12-14,1892
2018-12-15,5512
2018-12-16,3265
2018-12-17,1196
2018-12-18,879
2018-12-19,3788
2018-12-20,2571
2018-12-21,5168
2018-12-22,6104
2018-12-23,2310
2018-12-24,4158
2018-12-25,3089
2018-12-26,3779
2018-12-27,835
2018-12-28,5743
2018-12-29,1822
2018-12-30,2197
2018-12-31,741
2019-01-01,2876
2019-01-02,1047
2019-01-03,1493
2019-01-04,1196
2019-01-05,1170
2019-01-06,2106
2019-01-07,1344
2019-01-08,1099
2019-01-09,1578
2019-01-10,1121
2019-01-11,1506
2019-01-12,2068
2019-01-13,1307
2019-01-14,1090
2019-01-15,1780
2019-01-16,1118
2019-01-17,1153
2019-01-18,1552
2019-01-19,1286
2019-01-20,858
2019-01-21,792
2019-01-22,991
2019-01-23,1248
2019-01-24,1130
2019-01-25,1233
2019-01-26,4047
2019-01-27,2332
2019-01-28,1747
2019-01-29,1052
2019-01-30,1106
2019-01-31,1000
2019-02-01,6755
2019-02-02,2242
2019-02-03,3123
2019-02-04,2123
2019-02-05,1727
2019-02-06,19825
2019-02-07,15113
2019-02-08,14679
2019-02-09,7271
2019-02-10,699
2019-02-11,2331
2019-02-12,1378
2019-02-13,453
2019-02-14,1525
2019-02-15,1209
2019-02-16,520
2019-02-17,1633
2019-02-18,2888
2019-02-19,1661
2019-02-20,1319
2019-02-21,1354
2019-02-22,1542
2019-02-23,2230
2019-02-24,1518
2019-02-25,1317
2019-02-26,1152
2019-02-27,227
2019-02-28,1617
2019-03-01,1075
2019-03-02,2842
2019-03-03,1626
2019-03-04,514
2019-03-05,1750
2019-03-06,395
2019-03-07,1545
2019-03-08,1292
2019-03-09,207
2019-03-10,14369
2019-03-11,2031
2019-03-12,1982
2019-03-13,3120
2019-03-14,1357
2019-03-15,783
2019-03-16,1090
2019-03-17,2282
2019-03-18,2358
2019-03-19,2435
2019-03-20,2168
2019-03-21,2039
2019-03-22,2005
2019-03-23,1215
2019-03-24,170
2019-03-25,1145
2019-03-26,1592
2019-03-27,678
2019-03-28,1911
2019-03-29,2798
2019-03-30,423
2019-03-31,1850
2019-04-01,2167
2019-04-02,2640
