date,Steps
2017-01-05,2078
2017-01-06,1019
2017-01-07,838
2017-01-08,1195
2017-01-09,1921
2017-01-10,5028
2017-01-11,1471
2017-01-12,2073
2017-01-13,4049
2017-01-14,1777
2017-01-15,4849
2017-01-16,4505
2017-01-17,3611
2017-01-18,2515
2017-01-19,2070
2017-01-20,4517
2017-01-21,4449
2017-01-22,4823
2017-01-23,1944
2017-01-24,2391
2017-01-25,2366
2017-01-26,3470
2017-01-27,3402
2017-01-28,1294
2017-01-29,547
2017-01-30,3066
2017-01-31,2834
2017-02-01,2111
2017-02-02,5072
2017-02-03,4475
2017-02-04,2594
2017-02-05,1023
2017-02-06,3010
2017-02-07,2013
2017-02-08,4837
2017-02-09,2067
2017-02-10,5511
2017-02-11,240
2017-02-12,1903
2017-02-13,1105
2017-02-14,2215
2017-02-15,2606
2017-02-16,5000
2017-02-17,3040
2017-02-18,5274
2017-02-19,231
2017-02-20,3270
2017-02-21,1829
2017-02-22,2343
2017-02-23,2798
2017-02-24,4215
2017-02-25,1259
2017-02-26,483
2017-02-27,928
2017-02-28,3066
2017-03-01,3248
2017-03-02,3581
2017-03-03,4426
2017-03-04,1352
2017-03-05,6230
2017-03-06,3004
2017-03-07,2488
2017-03-08,1929
2017-03-09,3060
2017-03-10,3649
2017-03-11,4522
2017-03-12,1245
2017-03-13,3763
2017-03-14,1818
2017-03-15,1708
2017-03-16,2874
2017-03-17,3091
2017-03-18,2390
2017-03-19,237
2017-03-20,1751
2017-03-21,3778
2017-03-22,2283
2017-03-23,1040
2017-03-24,3018
2017-03-25,652
2017-03-26,4069
2017-03-27,3255
2017-03-28,1806
2017-03-29,3527
2017-03-30,2366
2017-03-31,3258
2017-04-01,1636
2017-04-02,3724
2017-04-03,1447
2017-04-04,3855
2017-04-05,1469
2017-04-06,4867
2017-04-07,1799
2017-04-08,3869
2017-04-09,855
2017-04-10,3081
2017-04-11,4688
2017-04-12,3845
2017-04-13,3632
2017-04-14,10358
2017-04-15,7096
2017-04-16,2280
2017-04-17,1584
2017-04-18,2886
2017-04-19,1460
2017-04-20,1581
2017-04-21,3009
2017-04-22,512
2017-04-23,735
2017-04-24,2960
2017-04-25,2592
2017-04-26,4366
2017-04-27,2411
2017-04-28,3640
2017-04-29,2098
2017-04-30,2647
2017-05-01,1498
2017-05-02,3356
2017-05-03,1308
2017-05-04,3811
2017-05-05,2435
2017-05-06,2439
2017-05-07,1244
2017-05-08,777
2017-05-09,2776
2017-05-10,1744
2017-05-11,1717
2017-05-12,3128
2017-05-13,6602
2017-05-14,498
2017-05-15,5839
2017-05-16,2908
2017-05-17,1713
2017-05-18,2631
2017-05-19,3221
2017-05-20,1607
2017-05-21,3579
2017-05-22,4198
2017-05-23,2777
2017-05-24,903
2017-05-25,1634
2017-05-26,4436
2017-05-27,665
2017-05-28,766
2017-05-29,2682
2017-05-30,2898
2017-05-31,2686
2017-06-01,1696
2017-06-02,2649
2017-06-03,691
2017-06-04,1595
2017-06-05,2510
2017-06-06,2880
2017-06-07,1543
2017-06-08,5333
2017-06-09,3505
2017-06-10,74
2017-06-11,76
2017-06-12,2604
2017-06-13,3469
2017-06-14,1370
2017-06-15,1999
2017-06-16,3709
2017-06-17,5380
2017-06-18,2923
2017-06-19,3669
2017-06-20,2058
2017-06-21,1529
2017-06-22,2415
2017-06-23,2874
2017-06-24,2363
2017-06-25,3001
2017-06-26,1756
2017-06-27,2012
2017-06-28,1300
2017-06-29,2310
2017-06-30,3335
2017-07-01,2537
2017-07-02,3647
2017-07-03,1658
2017-07-04,1072
2017-07-05,1436
2017-07-06,1160
2017-07-07,3066
2017-07-08,1555
2017-07-09,544
2017-07-10,1906
2017-07-11,2056
2017-07-12,1414
2017-07-13,4284
2017-07-14,2608
2017-07-15,2193
2017-07-16,1305
2017-07-17,4954
2017-07-18,1612
2017-07-19,374
2017-07-20,8232
2017-07-21,5468
2017-07-22,1098
2017-07-23,1322
2017-07-24,4487
2017-07-25,917
2017-07-26,2272
2017-07-27,3875
2017-07-28,3189
2017-07-29,2717
2017-07-30,5939
2017-07-31,3780
2017-08-01,1781
2017-08-02,3392
2017-08-03,3964
2017-08-04,3637
2017-08-05,6857
2017-08-06,1767
2017-08-07,1558
2017-08-08,1372
2017-08-09,3849
2017-08-10,6496
2017-08-11,6637
2017-08-12,6828
2017-08-13,6006
2017-08-14,2389
2017-08-15,3055
2017-08-16,5414
2017-08-17,1945
2017-08-18,1949
2017-08-19,1022
2017-08-20,1115
2017-08-21,1718
2017-08-22,4021
2017-08-23,1624
2017-08-24,2978
2017-08-25,6012
2017-08-26,2064
2017-08-27,2897
2017-08-28,1375
2017-08-29,666
2017-08-30,1783
2017-08-31,5042
2017-09-01,5278
2017-09-02,1041
2017-09-03,3121
2017-09-04,2577
2017-09-05,1746
2017-09-06,1610
2017-09-07,2199
2017-09-08,2383
2017-09-09,2985
2017-09-10,756
2017-09-11,2329
2017-09-12,3124
2017-09-13,1884
2017-09-14,2341
2017-09-15,7673
2017-09-16,3034
2017-09-17,3339
2017-09-18,4895
2017-09-19,761
2017-09-20,3475
2017-09-21,1988
2017-09-22,3153
2017-09-23,1832
2017-09-24,1494
2017-09-25,2086
2017-09-26,5185
2017-09-27,3875
2017-09-28,3687
2017-09-29,2650
2017-09-30,2553
2017-10-01,1975
2017-10-02,2250
2017-10-03,764
2017-10-04,4110
2017-10-05,7257
2017-10-06,2156
2017-10-07,1177
2017-10-08,1777
2017-10-09,5094
2017-10-10,923
2017-10-11,2685
2017-10-12,3751
2017-10-13,996
2017-10-14,3683
2017-10-15,159
2017-10-16,1172
2017-10-17,939
2017-10-18,1123
2017-10-19,2594
2017-10-20,933
2017-10-21,5016
2017-10-22,991
2017-10-23,1635
2017-10-24,1188
2017-10-25,807
2017-10-26,814
2017-10-27,1453
2017-10-28,3191
2017-10-29,3470
2017-10-30,1585
2017-10-31,2289
2017-11-01,1751
2017-11-02,5494
2017-11-03,3254
2017-11-04,756
2017-11-05,6732
2017-11-06,2392
2017-11-07,678
2017-11-08,4208
2017-11-09,1509
2017-11-10,1206
2017-11-11,4370
2017-11-12,2527
2017-11-13,1609
2017-11-14,3245
2017-11-15,1947
2017-11-16,1270
2017-11-17,3108
2017-11-18,1140
2017-11-19,490
2017-11-20,3332
2017-11-21,1821
2017-11-22,1069
2017-11-23,4081
2017-11-24,2184
2017-11-25,399
2017-11-26,1711
2017-11-27,1665
2017-11-28,1610
2017-11-29,1652
2017-11-30,5343
2017-12-01,3742
2017-12-02,776
2017-12-03,51
2017-12-04,3826
2017-12-05,2140
2017-12-06,2052
2017-12-07,6724
2017-12-08,4427
2017-12-09,3419
2017-12-10,1895
2017-12-11,4140
2017-12-12,1224
2017-12-13,2961
2017-12-14,7967
2017-12-15,1847
2017-12-16,1952
2017-12-17,653
2017-12-18,4084
2017-12-19,2356
2017-12-20,3961
2017-12-21,4677
2017-12-22,5353
2017-12-23,3262
2017-12-24,7170
2017-12-25,1223
2017-12-26,692
2017-12-27,6785
2017-12-28,3524
2017-12-29,2211
2017-12-30,4999
2017-12-31,364
2018-01-01,992
2018-01-02,744
2018-01-03,5366
2018-01-04,1737
2018-01-05,1796
2018-01-06,1505
2018-01-07,4938
2018-01-08,1289
2018-01-09,1530
2018-01-10,4432
2018-01-11,1609
2018-01-12,3279
2018-01-13,552
2018-01-14,1535
2018-01-15,4079
2018-01-16,1256
2018-01-17,985
2018-01-18,1900
2018-01-19,1750
2018-01-20,3776
2018-01-21,2463
2018-01-22,5002
2018-01-23,2520
2018-01-24,5092
2018-01-25,1259
2018-01-26,1334
2018-01-27,644
2018-01-28,518
