date,Steps
2015-04-24,26
2015-07-10,91
2015-07-17,30
2015-07-18,7652
2015-07-19,3029
2015-07-20,9252
2015-07-21,9026
2015-07-22,11438
2015-07-23,14877
2015-07-24,6832
2015-07-25,11513
2015-07-26,4320
2015-07-27,2758
2015-07-28,10300
2015-07-29,9636
2015-07-30,12741
2015-07-31,10011
2015-08-01,1258
2015-08-02,1459
2015-08-03,439
2015-08-04,7891
2015-08-05,10227
2015-08-06,10750
2015-08-07,10577
2015-08-08,15328
2015-08-09,13219
2015-08-10,16735
2015-08-11,6239
2015-08-12,5156
2015-08-13,6415
2015-08-14,90
2015-08-15,2295
2015-08-16,3482
2015-08-17,4013
2015-08-18,1354
2015-08-19,3742
2015-08-20,7329
2015-08-21,432
2015-08-22,129
2015-08-23,2779
2015-08-24,4854
2015-08-25,1755
2015-08-26,2064
2015-08-27,3163
2015-08-28,2215
2015-08-29,4771
2015-08-30,2164
2015-08-31,10948
2015-09-01,11846
2015-09-02,4998
2015-09-03,14891
2015-09-04,9242
2015-09-05,13800
2015-09-06,6406
2015-09-07,5588
2015-09-08,12157
2015-09-09,3463
2015-09-10,9841
2015-09-11,8068
2015-09-12,4812
2015-09-13,5913
2015-09-14,4336
2015-09-15,12262
2015-09-16,10080
2015-09-17,2986
2015-09-18,4468
2015-09-19,1774
2015-09-20,5027
2015-09-21,4263
2015-09-22,7489
2015-09-23,9605
2015-09-24,17768
2015-09-25,10602
2015-09-26,7558
2015-09-27,2256
2015-09-28,9116
2015-09-29,13380
2015-09-30,17688
2015-10-01,11708
2015-10-02,10340
2015-10-03,13588
2015-10-04,3475
2015-10-05,14606
2015-10-06,16643
2015-10-07,14627
2015-10-08,3544
2015-10-09,10281
2015-10-10,11268
2015-10-11,9334
2015-10-12,17867
2015-10-13,11700
2015-10-14,14183
2015-10-15,11782
2015-10-16,9806
2015-10-17,12134
2015-10-18,220
2015-10-19,6364
2015-10-20,14415
2015-10-21,10071
2015-10-22,5471
2015-10-23,6070
2015-10-24,3968
2015-10-25,5208
2015-10-26,4017
2015-10-27,9862
2015-10-28,5665
2015-10-29,17945
2015-10-30,14025
2015-10-31,13903
2015-11-01,10245
2015-11-02,11575
2015-11-03,15916
2015-11-04,12516
2015-11-05,12029
2015-11-06,12576
2015-11-07,10470
2015-11-08,1786
2015-11-09,8560
2015-11-10,12973
2015-11-11,8229
2015-11-12,17045
2015-11-13,6247
2015-11-14,9772
2015-11-15,6897
2015-11-16,4588
2015-11-17,14803
2015-11-18,5695
2015-11-19,14731
2015-11-20,13130
2015-11-21,4696
2015-11-22,1399
2015-11-23,8671
2015-11-24,16706
2015-11-25,7453
2015-11-26,15529
2015-11-27,7415
2015-11-28,11401
2015-11-29,11697
2015-11-30,17083
2015-12-01,9851
2015-12-02,2826
2015-12-03,12285
2015-12-04,13571
