date,Steps
2020-02-01,5125
2020-02-02,878
2020-02-03,14355
2020-02-04,10508
2020-02-05,13484
2020-02-06,12854
2020-02-07,14447
2020-02-08,26831
2020-02-09,24968
2020-02-10,22052
2020-02-11,6646
2020-02-12,508
2020-02-13,12088
2020-02-14,9837
2020-02-15,7427
2020-02-16,8949
2020-02-17,10258
2020-02-18,7315
2020-02-19,10320
2020-02-20,11043
2020-02-21,2093
2020-02-22,5445
2020-02-23,7535
2020-02-24,9119
2020-02-25,10005
2020-02-26,10006
2020-02-27,10302
2020-02-28,11550
2020-02-29,2750
2020-03-01,3143
2020-03-02,2767
2020-03-03,13154
2020-03-04,9811
2020-03-05,12121
2020-03-06,9154
2020-03-07,828
2020-03-08,907
2020-03-09,11858
2020-03-10,10521
2020-03-11,10742
2020-03-12,12832
2020-03-13,2253
2020-03-14,2665
2020-03-15,1454
2020-03-16,1192
2020-03-17,928
2020-03-18,2015
2020-03-19,1904
2020-03-20,3466
2020-03-21,2574
2020-03-22,2045
2020-03-23,2970
2020-03-24,2739
2020-03-25,1370
2020-03-26,1075
2020-03-27,3618
2020-03-28,854
2020-03-29,1071
2020-03-30,2475
2020-03-31,1151
2020-04-01,728
2020-04-02,1511
2020-04-03,1017
2020-04-04,1443
2020-04-05,1067
2020-04-06,1632
2020-04-07,1098
2020-04-08,3884
2020-04-09,3580
2020-04-10,2743
2020-04-11,2560
2020-04-12,1210
2020-04-13,2370
2020-04-14,3478
2020-04-15,10761
2020-04-16,1784
2020-04-17,1310
2020-04-18,1233
2020-04-19,1311
2020-04-20,9645
2020-04-21,1820
2020-04-22,3542
2020-04-23,1243
2020-04-24,6843
2020-04-25,700
2020-04-26,1178
2020-04-27,1523
2020-04-28,7984
2020-04-29,643
2020-04-30,2705
2020-05-01,1281
2020-05-02,1249
2020-05-03,709
2020-05-04,840
2020-05-05,10155
2020-05-06,2074
2020-05-07,10722
2020-05-08,1878
2020-05-09,14808
2020-05-10,12438
2020-05-11,469
2020-05-12,0
2020-05-13,1074
2020-05-14,0
2020-05-15,0
2020-05-16,2182
2020-05-17,6664
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,6882
2020-05-23,5675
2020-05-24,17012
2020-05-25,332
2020-05-26,0
2020-05-27,0
2020-05-28,755
2020-05-29,1620
2020-05-30,7600
2020-05-31,8411
2020-06-01,3272
2020-06-02,0
2020-06-03,4459
2020-06-04,2933
2020-06-05,2679
2020-06-06,1793
2020-06-07,0
2020-06-08,0
2020-06-09,296
2020-06-10,358
2020-06-11,7939
2020-06-12,7279
2020-06-13,10599
2020-06-14,725
2020-06-15,14086
2020-06-16,483
2020-06-17,6643
2020-06-18,2421
2020-06-19,0
2020-06-20,0
2020-06-21,430
2020-06-22,0
2020-06-23,8606
2020-06-24,6275
2020-06-25,3910
2020-06-26,3350
2020-06-27,7357
2020-06-28,628
2020-06-29,0
2020-06-30,0
2020-07-01,5449
2020-07-02,2493
2020-07-03,2374
2020-07-04,1082
2020-07-05,570
2020-07-06,831
2020-07-07,201
2020-07-08,5497
2020-07-09,6338
2020-07-10,0
2020-07-11,6764
2020-07-12,0
2020-07-13,11817
2020-07-14,2580
2020-07-15,0
2020-07-16,10312
2020-07-17,2483
2020-07-18,171
2020-07-19,2224
2020-07-20,2608
2020-07-21,2476
2020-07-22,3071
2020-07-23,4161
2020-07-24,6273
2020-07-25,5130
2020-07-26,2580
2020-07-27,4809
2020-07-28,0
2020-07-29,2598
2020-07-30,6211
2020-07-31,171
2020-08-01,0
2020-08-02,409
2020-08-03,3924
2020-08-04,2135
2020-08-05,2355
2020-08-06,880
2020-08-07,969
2020-08-08,146
